stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,13.14,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,15.73,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,54,2,0,10,0,0,1,1,0,0,7,0,0,0,1,18,0,0,8,379,0,0,2,1,0,0,0,111,0,1,36,80,0,0,1,0,0
 24-34,0,0,0,34.48,0,0,38.58,3.28,0,0.82,0,0.82,1.64,23.8,0.82,0,0,0,71.41,0.82,0.82,15.6,247.08,3.28,0.82,6.57,0,0,2.46,0,0,0,0,5.75,80.44,0,0,5.75,0,0
 36-46,0,0,0,19.34,0.81,0,111.99,2.42,2.42,2.42,0,0.81,2.42,42.7,0,0.81,0,0.81,95.87,0,0.81,26.59,149.85,1.61,0,2.42,0,0,1.61,1.61,0,0,0,0,33.03,0,0,0.81,0,0
 48-58,0,0,0,17.79,0,0,130.25,2.3,1.15,5.74,0,18.36,1.72,47.05,0.57,1.72,0,1.72,101.56,1.15,2.87,22.38,61.97,1.15,0,0,0,0,1.15,0,0,0,0,0,5.74,0,0.57,0.57,0,0
 60-70,0,0,0,14.72,0,0,69.69,2.94,1.96,8.83,0,9.82,0,42.21,0,0,0,0,103.06,3.93,0,12.76,40.24,0,0,1.96,0,0,0.98,0,0,0,0,0,6.87,0,1.96,0,0,0
 72-82,0,0,0,27.49,0,0,27.49,7.85,1.96,27.49,0,9.82,1.96,89.33,3.93,0.98,0.98,0,157.07,5.89,0,21.6,35.34,0,1.96,4.91,0,0,1.96,0.98,0,0,0,0,5.89,0,2.94,5.89,0,0
 84-94,0,0,0,74.34,1.06,0,28.68,20.18,5.31,14.87,2.12,10.62,1.06,105.14,1.06,0,2.12,0,92.4,4.25,3.19,18.05,26.55,0,2.12,1.06,0,2.12,8.5,0,0,0,0,0,3.19,5.31,3.19,3.19,1.06,0
 96-106,0,0,0,79.78,3.28,0,20.76,9.84,2.19,34.97,6.56,1.09,7.65,142.07,1.09,3.28,2.19,0,121.31,8.74,3.28,17.49,28.41,0,3.28,3.28,0,4.37,10.93,0,0,1.09,0,0,2.19,2.19,4.37,6.56,1.09,1.09
108-118,0,0,0,81.19,0.77,0.77,14.55,16.09,1.53,32.94,5.36,0,1.53,126.38,4.6,0,1.53,1.53,110.3,7.66,3.06,13.02,34.47,2.3,6.89,0,0,5.36,13.02,0,0,0,0,0,4.6,3.83,4.6,2.3,0.77,0
120,0,0,0,74.47,1.96,0,3.92,11.76,1.96,17.64,7.84,0,1.96,97.99,1.96,1.96,0,0,72.51,1.96,0,9.8,23.52,0,1.96,0,0,7.84,19.6,0,0,0,0,0,1.96,0,0,1.96,0,0
