stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,25.18,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,9,1,2,0,0,0,0,0,78,12,11,1,1,0,0,13,8,1,0,1,12,0,0,0,0,0,45,1,0,5,6,14,0,0,1,0,51
 24-34,0,7.39,20.52,1.64,9.03,0.82,0,0,0,0.82,58.28,0,46.79,12.31,1.64,0,0,46.79,18.06,20.52,0.82,4.93,57.46,0,0,1.64,0,0,4.1,0,0,0.82,9.85,23.8,0,0,4.1,0,182.23
 36-46,0,0.81,4.03,0.81,8.06,0,0,0,0.81,0,8.86,0.81,54.79,8.86,0,0,0.81,4.83,1.61,29.81,0,0,23.36,0,1.61,0.81,0,0,1.61,0,0.81,0,0,2.42,0,0,0,0,94.26
 48-58,0,0.57,2.3,0,13.2,0,0.57,0.57,1.15,0.57,36.15,0,61.97,4.59,1.15,0,0,0,4.02,26.97,0,0,16.07,0,0,0,0,0,4.02,0,0.57,0,0,4.59,0,0,1.15,0,67.14
 60-70,0,0,2.94,0,2.94,0,0.98,0,0,4.91,12.76,0,80.48,10.8,0.98,0,0,0,1.96,22.58,1.96,0,11.78,0,0,0,0,0,3.93,0,0,0,0,1.96,0,0,0,6.87,27.48
 72-82,0,0,2.94,2.94,13.74,0,0.98,0,2.94,15.71,14.72,0,84.42,22.58,0.98,0,0,0,12.76,57.92,10.8,0,8.83,0,1.96,0,0,0.98,6.87,0,0,0,0,0,0.98,4.91,1.96,40.25,11.78
 84-94,0,0,2.12,1.06,7.43,0,2.12,0,2.12,45.67,14.87,0,120.01,35.05,0,0,0,0,8.5,64.78,11.68,0,1.06,1.06,0,0,0,0,40.36,0,1.06,0,0,0,2.12,6.37,1.06,26.55,9.56
 96-106,0,0,15.3,3.28,8.74,0,9.84,1.09,3.28,65.57,1.09,0,144.26,52.46,2.19,1.09,0,0,16.39,101.63,12.02,0,24.04,0,1.09,1.09,0,0,136.61,0,0,0,0,0,6.56,3.28,0,61.2,30.6
108-118,0,0.77,17.62,3.06,10.72,0,2.3,0.77,1.53,68.17,0,0,84.26,32.94,2.3,0,1.53,0,1.53,67.4,14.55,0,13.79,0,0,0,0,1.53,89.62,0,0.77,0,0,0.77,6.13,3.06,0.77,39.06,27.57
120,0,0,15.68,1.96,5.88,0,1.96,0,0,29.4,0,0,111.71,19.6,0,0,1.96,0,3.92,47.03,21.56,3.92,15.68,1.96,0,0,0,0,48.99,0,0,0,0,0,7.84,1.96,1.96,47.03,11.76
