stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0.82,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,247.08,0,0.82,0,0,0,0.82,0,0,51.71,0,0,0.82,0,0
 36-46,0,0,0,0,0,83.79,0,0,0,1.61,0,0,0,0,0,0,0,2.42,0,0,0,736.38,0,1.61,0,0,0,0.81,0,0,113.6,0,0,2.42,0,0.81
 48-58,0,0,7.46,1.15,0,604.22,0.57,2.87,0,16.07,0,0,0,0,0.57,0,0,14.35,0,1.72,2.3,1490.75,0,2.87,0,0,0,1.15,0,0.57,161.24,0,0,0,0,2.87
 60-70,0,0,5.89,1.96,0,1358.43,0,0.98,0,17.67,0,0,3.93,0,0,0,0,12.76,0,1.96,1.96,2290.87,0.98,1.96,1.96,0,0,6.87,0.98,0,199.25,0,0.98,0,0,1.96
 72-82,0,0.98,10.8,2.94,0,1306.59,0,0.98,1.96,49.08,2.94,0,1.96,0,0,0,0.98,30.43,0.98,0.98,0.98,2293.16,0,2.94,4.91,0,0.98,1.96,0.98,0,133.51,0,0.98,4.91,0,4.91
 84-94,0,0,21.24,1.06,0,777.41,1.06,0,3.19,48.85,1.06,1.06,2.12,1.06,1.06,0,0,26.55,0,2.12,1.06,1059.91,0,1.06,0,0,0,3.19,0,0,81.78,0,0,2.12,0,0
 96-106,0,0,13.11,2.19,0,504.9,0,0,3.28,39.34,1.09,0,1.09,1.09,1.09,0,1.09,19.67,0,1.09,1.09,725.65,0,3.28,0,0,0,2.19,0,0,24.04,0,1.09,1.09,2.19,1.09
108-118,0,0,9.96,1.53,0.77,425.88,0,0,0.77,19.92,0,0,0,0,0.77,0.77,0,12.26,0,0.77,1.53,907.67,0,1.53,0.77,0,0,3.83,0,0,22.21,0.77,0,3.83,0.77,1.53
120,0,0,21.56,0,0,391.96,0,0,1.96,31.36,1.96,0,0,0,0,0,0,7.84,0,0,3.92,1093.56,0,5.88,0,0,0,1.96,0,0,21.56,0,1.96,7.84,0,0
