stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,heart,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0,0,2.94,0
 72-82,0,0.98,0,0.98,0.98,3.93,13.74,0.98,2.94,0,0,0,0,12.76,0
 84-94,0,1.06,0,0,0,1.06,4.25,0,2.12,0,0,0,0,9.56,0
 96-106,0,0,4.37,0,1.09,2.19,6.56,0,1.09,1.09,0,0,0,21.86,1.09
108-118,0,0.77,2.3,0,0,0.77,16.85,1.53,0.77,0,0,0,0,14.55,0
120,0,0,0,0,3.92,0,9.8,0,1.96,0,0,0,0,21.56,0
