stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,57.83,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,2,0,0,1,0,0,0,2,0,0,0,0,0,1,13,0,0,0,1,0,0,3,9,0,0,1,0
 24-34,0,0,0,0.82,0.82,8.21,0,1.64,1.64,0,0,0,0,0,0,0,5.75,0,0.82,50.07,0,0.82,0,0,2.46,0.82,0.82,18.88,0,0,0,0
 36-46,0,0,0,0,0.81,12.09,0.81,0,0,0.81,0,0,0,0,0.81,0,5.64,0,0,55.59,0,0,0.81,0,0,0,0,15.31,0,0,0,0
 48-58,0,0,0,0,1.72,18.94,0,0,4.02,0,0,0,0,0,0,0,8.61,0,1.72,49.35,0,0.57,0,0,0.57,0,0,9.18,0,0,1.15,0
 60-70,0,0,0,0,0,17.67,0,0,3.93,0,0,0,0,0.98,0,0,9.82,0,0.98,51.04,0.98,0,0,0,0.98,0,0,4.91,0,0,0.98,0
 72-82,0,0,0,0,0,20.61,0,0,2.94,0,0,0,0,0,0,0.98,8.83,1.96,1.96,19.63,0,0,0.98,0,0.98,0,0,1.96,0,0,0,0.98
 84-94,0,0,0,0,2.12,7.43,1.06,1.06,1.06,0,0,2.12,0,0,0,0,8.5,0,1.06,9.56,1.06,0,1.06,0,6.37,0,0,5.31,0,1.06,0,0
 96-106,0,0,1.09,0,3.28,3.28,0,0,0,1.09,0,0,0,0,0,0,2.19,0,1.09,12.02,0,0,0,0,2.19,0,0,2.19,0,1.09,0,0
108-118,0,0,0,0,2.3,6.13,0,0,0.77,0.77,0,0.77,0,0,0,0,2.3,0.77,0.77,13.79,0,0,0,0,1.53,0,0,0.77,1.53,0,0.77,0
120,0,0,0,0,1.96,7.84,0,0,1.96,0,0,1.96,0,0,0,0,7.84,0,1.96,13.72,0,0,1.96,0,0,0,0,0,0,0,0,0
