stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,15.77,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
 24-34,0,0,0.82,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0.81,0.81,0,0.81,0,0.81,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0,0,1.72,1.72,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0.98,0.98,0,0,0.98,1.96,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,1.06,1.06,0,0,0,1.06,2.12,3.19,0,1.06,0,8.5,0,0,0,1.06
 96-106,0,0,2.19,0,0,1.09,2.19,0,0,0,1.09,0,1.09,1.09,0,3.28,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0.77,0,0,0,0,0.77,0.77,0,0,3.83,0,0,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,11.76,0,0,0,0
