stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,1,13,7,0,8,0,0,0,1,0,0,2,0,1,0,0,0,0,3,0,0,3,84,1,1,0,1,1,13,4,0,16,28,0,3,0,0
 24-34,0,0,0,0,7.39,3.28,0,36.94,0,1.64,1.64,6.57,0.82,0,0,0.82,4.1,0,1.64,0,0.82,20.52,1.64,0.82,10.67,285.66,1.64,0.82,0,0,23.8,0,2.46,0,5.75,55.82,0,4.1,0,1.64
 36-46,0,0,0,0,8.86,2.42,0,35.45,0.81,0.81,1.61,5.64,0.81,0,0,0.81,4.03,0.81,0,0,1.61,14.5,0.81,1.61,3.22,153.88,2.42,0,3.22,0,22.56,0,0.81,2.42,0,21.75,0,2.42,0,0.81
 48-58,0,0,0,0,5.74,1.72,0,52.22,3.44,1.15,0.57,10.9,1.15,0.57,0,1.72,0.57,0,0.57,0,1.72,17.21,0,0.57,2.3,121.07,0,1.72,1.72,0,5.74,0,0.57,0,0,16.64,0,1.72,0,0.57
 60-70,0,0,0,0,7.85,1.96,0,54.97,0,3.93,0.98,3.93,2.94,0.98,0,3.93,1.96,2.94,0.98,0,0,21.59,0.98,0.98,0.98,91.28,0.98,2.94,2.94,0,16.69,0,2.94,0.98,0,7.85,0,0.98,0.98,0
 72-82,0,0,0,0.98,2.94,2.94,0,29.45,0,0,1.96,11.78,1.96,0,0,0.98,0.98,0,0.98,0,0,27.49,0,0.98,3.93,72.64,0,0.98,0,0,9.82,0,0,0,0,5.89,0,3.93,0.98,0
 84-94,0,0,0,0,5.31,6.37,0,22.3,0,1.06,0,3.19,2.12,1.06,0,4.25,1.06,0,3.19,0,1.06,22.3,0,0,2.12,26.55,0,1.06,2.12,0,15.93,0,1.06,0,0,2.12,2.12,2.12,1.06,0
 96-106,0,0,0,0,3.28,6.56,0,18.58,1.09,0,0,8.74,1.09,0,0,1.09,0,0,1.09,1.09,0,7.65,2.19,0,0,18.58,1.09,1.09,2.19,0,16.39,0,0,0,0,3.28,0,2.19,0,0
108-118,0,0,0,0,9.19,6.89,3.83,14.55,0,3.06,2.3,8.43,3.06,0,0,4.6,1.53,0,1.53,0.77,0.77,9.19,0,0,5.36,37.53,0,1.53,0.77,0,14.55,0,1.53,0.77,0,0.77,0.77,0.77,0.77,0.77
120,0,0,0,0,31.36,19.6,0,43.12,7.84,3.92,0,25.48,1.96,0,0,25.48,1.96,3.92,0,1.96,0,25.48,7.84,1.96,15.68,74.47,1.96,3.92,1.96,0,50.95,0,3.92,0,0,9.8,0,9.8,0,0
