stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,196.15,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,18.4,31.54,0,0,10.51,0,0,5.26,0,0,0,0,281.27,34.17,0,297.04,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,31.47,0,0,0,0,0,0,0,0,0,0,195.11,37.76,0,487.78,0,0,12.59,0,3.15,0,0,0
 14-21,0,0,0,5,1,1,1,1,0,0,1,2,2,12,2,0,10,0,157,0,1,192,24,0,0
 24-34,0,0,0,0,0.82,1.64,0,0,0,0,0,0,3.28,3.28,1.64,0,0,0,0,0,0,14.78,4.93,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,1.15,0.57,0,0,0,0,2.3,0,2.87,0,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,1.96,0,0,0.98,0,1.96,0,5.89,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,2.19,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,1.53,0,0,0,0,1.53,1.53,3.06,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0
