stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,heart,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,2.63,0,0,0,0,0,0,31.54,0,0,23.66,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,31.47,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,0,1,1,17,0,0,0,0,0,0,4,0
 24-34,0,0,0,0,0,3.28,0,0,0.82,0,1.64,0.82,9.85,0,0,0,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0,8.86,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,0,2.3,0.57,0,0,0,0.57,0,3.44,0,0,0,0,0,0,1.72,0.57
 60-70,0,0,0,0,0,2.94,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0.98,0,2.94,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,1.06,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0.77,0.77,0.77,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0
