stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,4,0,2,0,1,0,0,0,2,0,0,0,24,1,0,1,0,0,1,0,7,17,0,0,0
 24-34,4.93,0,3.28,0,0.82,0,0.82,0,0.82,0,0,2.46,55.82,0,1.64,1.64,0,0,0,0,4.1,20.52,0,0,0.82
 36-46,2.42,0,4.83,0,2.42,1.61,0.81,0,1.61,0,0,0.81,58.81,0,0.81,0.81,0,0,0,0,0,28.2,0,0,0
 48-58,0,0,5.74,0,5.16,0,1.15,0,2.87,0.57,0,1.72,28.69,0,0,0,0,0,0,0,0,12.05,0,0,0.57
 60-70,0,0,8.83,0,6.87,0,0,0,3.93,0,0,0,43.19,0,0,0,0,0,0,0,0,7.85,0,0,0
 72-82,0,0,3.93,0,4.91,0.98,0,0,7.85,0,0,0,21.6,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98
 84-94,0,0,8.5,0,4.25,0,2.12,0,2.12,0,1.06,3.19,13.81,0,1.06,3.19,0,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,4.37,0,2.19,0,0,0,2.19,0,0,2.19,12.02,0,0,1.09,0,0,0,0,0,1.09,1.09,1.09,0
108-118,1.53,1.53,3.83,0.77,3.83,0,0.77,0.77,0,0,0,0,12.26,0.77,0,0,0,0,0,0.77,0,2.3,4.6,0,0.77
120,1.96,0,1.96,0,3.92,0,1.96,0,5.88,0,0,0,17.64,0,0,0,0,0,0,0,0,0,3.92,0,0
