stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,6.29,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.67,6.29,0,0,22.03,0,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,44,103,0,7,0,0,0,1,2,3,0,0,0,1,0,0,88,0,0,36,136,0,1,21,0,0,0,1,0,1,2,24,0,28,0,0
 24-34,0.82,0,0,0,27.91,10.67,0,6.57,0.82,1.64,1.64,3.28,0,8.21,0,0,0,5.75,0.82,0,185.51,0,0.82,51.71,202.75,0,2.46,21.34,0,1.64,0.82,0,0,0,1.64,22.98,0,96.04,0,0
 36-46,0,0,0,0,6.45,3.22,0,3.22,0.81,1.61,8.86,8.06,0,8.86,0,0,0,2.42,0,0,200.61,0,3.22,35.45,133.74,0,0,8.86,0,0,0.81,0,0,0,0,29,0,72.51,0.81,0
 48-58,0,0,0,0,7.46,1.72,0,24.1,1.72,1.72,11.48,13.77,0,5.74,0,0,1.15,4.59,0.57,0.57,258.21,0,11.48,53.94,96.4,0,0,10.9,0,0,0,0,0,1.15,0,19.51,1.72,66.56,0.57,0
 60-70,0,0,0,0,2.94,0.98,0,68.71,3.93,0,11.78,9.82,0,8.83,0,0,3.93,5.89,0,0,398.5,0,28.46,62.82,83.43,0,0,9.82,0,6.87,0.98,0,0,0.98,0,9.82,5.89,53.98,2.94,0
 72-82,0,0,1.96,0,3.93,4.91,0,85.4,3.93,0,31.41,26.5,2.94,6.87,0.98,0.98,2.94,12.76,0,0,579.18,0,27.49,80.5,114.85,0,0.98,17.67,0,14.72,0.98,0,0,0,0,7.85,21.6,161.97,18.65,0.98
 84-94,0,0,0,0,7.43,2.12,0,75.4,4.25,0,16.99,22.3,0,8.5,1.06,0,4.25,6.37,0,0,352.6,0,30.8,52.04,80.71,0,1.06,12.74,0,7.43,3.19,0,1.06,0,0,2.12,14.87,112.58,15.93,0
 96-106,1.09,0,1.09,0,8.74,4.37,0,69.94,3.28,1.09,8.74,29.51,1.09,8.74,0,1.09,5.46,7.65,0,0,334.41,1.09,25.14,39.34,90.71,0,0,32.79,0,27.32,4.37,0,4.37,1.09,0,4.37,8.74,148.63,18.58,0
108-118,0,0,0,0,2.3,1.53,1.53,63.57,5.36,0,13.02,19.92,0,6.89,1.53,0.77,7.66,10.72,1.53,0,301.79,0,16.09,37.53,78.89,0,0,16.85,0,27.57,1.53,0,0,0,0,2.3,7.66,92.68,7.66,0
120,1.96,0,0,0,7.84,3.92,1.96,43.12,5.88,0,7.84,47.03,0,5.88,0,0,5.88,13.72,1.96,0,252.81,0,17.64,45.08,107.79,0,0,25.48,0,19.6,0,0,0,0,0,7.84,1.96,117.59,13.72,0
