stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,93,0,0,0
 24-34,13.95,3.28,0,22.98,0,0,1.64,0,0.82,0,2.46,1.64,18.88,0,0,380.88,1.64,3.28,0.82
 36-46,3.22,0,0,21.75,0.81,0.81,0,0.81,0,0.81,1.61,0,10.47,0,0,192.55,1.61,1.61,0.81
 48-58,2.3,2.3,0,24.1,1.15,0,0.57,0,0,3.44,0,0,4.59,0,0,93.53,1.72,1.72,0
 60-70,6.87,3.93,0.98,23.56,0,0,0.98,0,0,4.91,0,0,4.91,0,0,102.08,0,0,0
 72-82,10.8,1.96,0,28.47,4.91,0.98,0,0,0,22.58,0.98,2.94,4.91,0,1.96,98.17,2.94,0.98,0
 84-94,6.37,4.25,0,29.74,0,1.06,0,0,0,9.56,0,1.06,2.12,0,0,126.38,1.06,0,0
 96-106,25.14,2.19,0,26.23,5.46,1.09,0,0,0,19.67,0,0,5.46,2.19,0,104.91,2.19,0,0
108-118,14.55,0.77,0,26.04,0.77,0.77,0,0,0,12.26,0,0,3.83,0,0,62.04,1.53,0,0
120,29.4,0,0,15.68,0,0,0,0,0,5.88,0,0,1.96,0,0,25.48,0,0,0
