stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,3689.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0
  5-6,349.39,3794.24,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,91.94,6.13,0,0,12.26,0,140.98,0,0,0,0,0,0,0,0,0,0
  7-9,68.35,49.95,0,113.03,0,0,0,170.87,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,1658.72,70.98,0,0,686.09,0,5.26,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,62.94,0,9.44,0,129.03,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,1142.35,53.5,0,0,421.69,0,6.29,3.15,0,28.32,0,6.29,0,0,0,0,0
 14-21,0,0,0,9,54,17,0,19,0,0,0,7,4,4,3,0,0,0,0,2,1,24,0,0,16,237,19,3,6,8,0,24,0,48,2,6,47,87,0,3,0,0
 24-34,0,0,0,4.93,54.18,4.1,0,53.36,0.82,6.57,2.46,7.39,2.46,0,0.82,0.82,9.03,1.64,2.46,5.75,0,61.56,2.46,0.82,33.66,460.5,21.34,4.1,6.57,0,0,125.59,0,0,5.75,5.75,18.06,132.98,0,18.88,0,4.93
 36-46,0,0,0.81,0.81,33.84,2.42,0,41.09,5.64,2.42,0.81,8.06,2.42,0,3.22,0.81,2.42,0,0.81,3.22,1.61,56.4,2.42,0,11.28,312.6,10.47,6.45,4.03,0,0,96.68,0.81,0,4.03,2.42,0,62.84,0,9.67,0,3.22
 48-58,0,0,0,0,9.75,0,0,44.76,2.3,2.87,2.87,8.61,0.57,1.72,0.57,0.57,0.57,0.57,0.57,0,0,24.67,0,0.57,9.75,128.53,4.59,1.15,1.15,0,0,39.02,0,0,1.15,1.72,0,39.02,0,1.72,0,2.87
 60-70,0,0,0,0,20.61,1.96,0,42.21,4.91,2.94,4.91,7.85,1.96,0,1.96,0.98,0,0,0,0,1.96,34.35,0.98,1.96,2.94,67.73,3.93,1.96,2.94,0,0,82.45,0,0,0.98,1.96,0,15.7,0.98,5.89,0,0.98
 72-82,0,0,0.98,0,11.78,1.96,0,34.36,1.96,6.87,3.93,17.67,0.98,0.98,0.98,1.96,0,1.96,2.94,0.98,0,31.41,0.98,0.98,5.89,66.75,1.96,0,0.98,0,0.98,41.23,0,0,0.98,0,0,4.91,0.98,5.89,0,0
 84-94,0,0,1.06,0,11.68,1.06,0,18.05,0,6.37,2.12,2.12,3.19,0,1.06,2.12,0,0,0,1.06,1.06,25.49,0,2.12,2.12,23.36,3.19,2.12,2.12,0,0,89.21,0,0,1.06,0,0,1.06,0,4.25,0,0
 96-106,0,0,0,0,5.46,2.19,0,6.56,1.09,2.19,1.09,2.19,0,0,0,0,2.19,0,1.09,0,0,7.65,2.19,1.09,1.09,14.21,2.19,0,3.28,0,0,42.62,0,0,0,1.09,0,5.46,0,3.28,0,0
108-118,0,0,0,0.77,9.96,4.6,1.53,9.19,0,3.06,1.53,2.3,1.53,0,0.77,1.53,0.77,0.77,0,1.53,0.77,13.79,0.77,0.77,0.77,22.21,0,0.77,0.77,0,0.77,53.62,0,0,0.77,1.53,0,1.53,0.77,2.3,1.53,0.77
120,0,0,0,0,35.28,3.92,0,17.64,1.96,3.92,0,3.92,1.96,0,0,3.92,3.92,0,0,3.92,0,21.56,1.96,0,7.84,21.56,7.84,0,1.96,0,0,90.15,0,0,0,0,0,0,1.96,5.88,1.96,0
