stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0
 24-34,0,0.82,1.64,0,2.46,0.82,0,0.82,0,0.82,0,1.64,0,0.82,0,0,0,10.67,1.64,3.28,2.46,0,0,0,4.93,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0.81,6.45,1.61,0,3.22,0.81,0,0,4.83,0,0,0
 48-58,0,0,1.15,0,1.15,0,0,1.15,0,0,0,0,0,0,0,0.57,0,8.03,1.15,0.57,0.57,0,0,0,2.3,0,0,0
 60-70,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0,0.98,0,0,3.93,0,0.98,0,0,0,0,0.98
 72-82,0,0,2.94,0,0.98,0,0.98,0.98,0,0,0,0,0,0,2.94,0,0,2.94,0.98,0.98,2.94,0.98,0,0,0,0,0,0
 84-94,0,0,5.31,2.12,0,1.06,0,2.12,0,0,1.06,1.06,0,0,1.06,1.06,0,2.12,1.06,2.12,7.43,0,0,0,0,0,0,1.06
 96-106,1.09,0,1.09,0,3.28,0,0,0,1.09,0,0,2.19,0,1.09,2.19,1.09,0,3.28,1.09,3.28,4.37,0,0,0,0,2.19,1.09,0
108-118,0,0,2.3,0,2.3,0.77,0.77,2.3,3.06,0,0,0.77,0.77,0,1.53,0,0,0.77,0,0.77,2.3,0,0,0,0,1.53,0,0
120,0,0,5.88,1.96,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,3.92,7.84,0,0,0,0,0,0,0
