stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,0,1,0,0,32,0,0,0,0,1,0,11,0,0,3,49,1,1,1,4,0,1,15,1,9,92,0,0,1
 24-34,0,0,0.82,0.82,2.46,0,4.1,0,0,20.52,0,0.82,0,0.82,0.82,0,3.28,0,0,2.46,36.94,4.93,6.57,2.46,0,0,0.82,2.46,0,0.82,46.79,0.82,0,0
 36-46,0,0,0,0,1.61,0,7.25,0,0.81,20.14,0,0,0,0,0,0,5.64,0,0,1.61,26.59,2.42,7.25,3.22,0,0,1.61,0,0,0,41.89,1.61,0,0
 48-58,0,0,0,0,0.57,0,13.2,0,0.57,22.95,0,0.57,0,0,0,0.57,12.05,0,0.57,3.44,47.63,0,3.44,0,0,0,0.57,0,0,0,29.84,0,0,0.57
 60-70,0,0,0,0,0.98,0,58.89,1.96,0.98,40.24,0.98,0,0,0.98,0,0,19.63,0,0,6.87,78.52,0.98,6.87,2.94,0,0.98,0,0.98,0.98,0,28.46,3.93,0,0
 72-82,0,0,0,0,3.93,0,53.99,0,0,46.14,2.94,0.98,0.98,0.98,0,0,14.72,0.98,0,0.98,54.97,0,7.85,0,0,0,0.98,0,1.96,0,4.91,0.98,1.96,0.98
 84-94,1.06,0,0,0,1.06,0,29.74,0,0,10.62,0,0,0,1.06,2.12,0,11.68,0,0,0,35.05,1.06,5.31,1.06,0,0,0,2.12,0,0,4.25,2.12,0,0
 96-106,0,0,0,0,1.09,1.09,39.34,0,0,10.93,0,0,2.19,0,3.28,0,6.56,0,1.09,0,32.79,0,6.56,2.19,0,0,0,0,0,0,4.37,1.09,0,0
108-118,0,0,0.77,0,0.77,0,21.45,0,0,10.72,0,0,1.53,0.77,0,0,3.06,0,0,0.77,30.64,0,7.66,3.83,0,0,0.77,0,0,0,2.3,1.53,0,0
120,0,0,0,0,3.92,0,17.64,0,1.96,17.64,0,0,1.96,0,0,0,5.88,0,0,0,64.67,1.96,5.88,1.96,0,0,3.92,1.96,0,0,1.96,1.96,0,0
