stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,18.88,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,12,0,1,2,6,0,0,8,1,0,0
 24-34,0,0,0,0,0,0.82,0,9.03,0,3.28,6.57,0,0,0,0.82,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,1.61,4.83,0,0.81,0,0,0,0.81,0.81
 48-58,0,0,0,0,0,0.57,0,2.3,0.57,0.57,1.72,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0.98,1.96,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,2.12,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,4.37,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,1.53,0,0.77,0,0,0,2.3,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
