stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,1,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,21,1,1,0,0,0,3,1,1,7,0,0,0,0,0
 24-34,0.82,1.64,0.82,4.1,0,0,0,0.82,0,0.82,0,0,0,0,0.82,5.75,0.82,0,4.1,55,0,1.64,0,0,0.82,0,0,0,21.34,0,0,0,0,0.82
 36-46,0,0,0,9.67,0,0,0,4.03,0,0,0,0.81,0,0,0.81,10.47,0,0,0.81,64.45,0,0,0,0,1.61,0,0,0,11.28,0,0,0.81,0,0
 48-58,0,0.57,0,26.97,0,1.15,0.57,10.9,0.57,0,0,0,0,0.57,0.57,11.48,0,1.15,2.87,91.23,0.57,1.15,1.15,0,0,0,0,0,21.8,0,0,2.3,0,0
 60-70,0,0.98,0,26.5,0,0,1.96,3.93,0,0,0,0,0,0,0,14.72,0,0,0.98,61.84,0,0,0,0,0,0,0,0,7.85,0,0,0.98,0,0
 72-82,0,0.98,0,50.06,0.98,0,0,9.82,0,0.98,0,0,0,0,0,25.52,0.98,0.98,1.96,107,0,0,0,0,0.98,0,0,0,6.87,0,0.98,1.96,0,0
 84-94,0,4.25,0,15.93,0,0,2.12,7.43,0,0,1.06,2.12,1.06,1.06,0,12.74,2.12,0,0,29.74,0,0,0,0,6.37,0,0,0,2.12,0,2.12,1.06,1.06,0
 96-106,0,2.19,3.28,17.49,1.09,0,0,5.46,1.09,0,4.37,1.09,0,0,0,21.86,0,0,0,30.6,1.09,0,3.28,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0.77,2.3,0,12.26,0,2.3,0,6.89,1.53,0,0.77,0.77,0.77,0,0,15.32,0,1.53,1.53,43.66,0,3.06,0,0,1.53,0,0,0,0,0.77,0.77,0.77,0.77,0
120,0,9.8,3.92,9.8,0,0,0,5.88,0,0,3.92,1.96,0,0,0,5.88,0,0,1.96,52.91,0,1.96,1.96,1.96,1.96,0,0,0,3.92,0,0,3.92,0,0
