stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,21.03,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,178.75,10.51,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,5,3,6,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,317,2,9,1,0,0,0,0,2,0,1,173,0,0,0,0,0
 24-34,0,0.82,9.85,1.64,3.28,0,25.45,0,0,0,3.28,0,0,0.82,0,0,0,0,0.82,0,7.39,0.82,0,1.64,1188.6,0,41.04,0.82,0,0,5.75,0,0,0,0,294.69,0,0,0,0,0
 36-46,0,0,2.42,0,2.42,0,160.33,0,0,0,15.31,0,0,0.81,0,0,0,0,0.81,0,10.47,0,0.81,1.61,2781.98,1.61,32.23,0,0,0,0.81,0,0,0,0,530.13,0,0,0,0,0
 48-58,0,0,1.15,0,7.46,0,445.85,0,0.57,2.3,54.51,0,0,0.57,0.57,0,0,0,0.57,2.3,26.4,1.15,1.15,2.87,2737.62,0,22.95,0,0,0,1.72,0,0,0,0,515.28,0,0,0.57,0,1.72
 60-70,0,0,5.89,0,4.91,0,1145.44,0.98,0.98,0.98,39.26,0.98,0.98,0,3.93,0,0,0,0,0,29.45,1.96,0.98,1.96,3384.29,0,14.72,0,0,0.98,4.91,0,0,0,0,497.63,0,2.94,0,0,2.94
 72-82,0,0,12.76,0,10.8,6.87,1191.74,0.98,1.96,2.94,76.57,6.87,0,0,2.94,1.96,0,2.94,0.98,0,51.05,1.96,2.94,2.94,2484.59,0,19.63,0.98,0,1.96,5.89,0,0,1.96,0,245.42,4.91,0,6.87,0.98,5.89
 84-94,0,0,10.62,0,24.43,1.06,762.54,0,0,1.06,73.28,13.81,0,0,3.19,1.06,1.06,2.12,0,0,44.61,3.19,0,2.12,1166.12,0,10.62,13.81,0,0,2.12,0,0,1.06,0,131.69,0,3.19,2.12,3.19,2.12
 96-106,0,0,5.46,0,14.21,2.19,641.5,0,1.09,1.09,60.11,12.02,0,1.09,0,0,1.09,0,2.19,0,39.34,0,1.09,3.28,995.58,1.09,14.21,9.84,0,0,4.37,1.09,0,0,0,65.57,1.09,3.28,2.19,4.37,0
108-118,0,0,3.06,0,18.38,1.53,487.92,0,0,0,30.64,17.62,0,0,0,0,0,1.53,2.3,0.77,24.51,0.77,2.3,1.53,1390.22,1.53,14.55,5.36,0,0,0.77,0,0,3.06,0,39.06,2.3,0,2.3,3.06,0.77
120,0,0,3.92,0,15.68,1.96,327.28,1.96,1.96,0,37.24,25.48,0,0,1.96,0,0,3.92,1.96,0,13.72,1.96,1.96,3.92,1122.96,1.96,17.64,7.84,0,0,5.88,0,0,3.92,0,33.32,1.96,0,1.96,0,0
