stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,3992.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,349.39,4217.19,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,116.46,6.13,0,0,42.91,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,60.46,107.78,157.72,0,0,276.01,0,0,0,0,0,105.15,0,0,0,0,0,0,0,0,0,0,0,2499.91,84.12,0,0,1106.69,0,7.89,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,88.12,110.14,0,15.73,198.26,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,1866.15,22.03,0,0,720.66,0,0,9.44,3.15,97.56,0,3.15,3.15,0,0,0,0
 14-21,0,0,23,125,42,76,0,0,0,19,4,2,0,0,1,0,0,0,0,79,0,0,65,1061,26,6,14,43,0,19,0,128,8,0,80,364,0,4,0,0
 24-34,0,0.82,0.82,37.76,9.85,261.85,0,1.64,0.82,38.58,0.82,0,1.64,2.46,2.46,3.28,1.64,0.82,0.82,192.08,1.64,0,76.34,1644.17,6.57,14.78,14.78,0,0,38.58,0,0,2.46,0,11.49,389.91,0,33.66,0,3.28
 36-46,0,0,0,11.28,0,527.71,0,0.81,0,33.03,0.81,0,0.81,2.42,1.61,3.22,0.81,2.42,0,146.63,0,3.22,45.92,1171.44,4.03,9.67,8.06,0,0,16.11,0,2.42,2.42,0.81,0,277.15,0,14.5,0,3.22
 48-58,0,0,0,18.36,1.72,579.54,0,0.57,0.57,27.54,1.15,0.57,2.3,3.44,1.15,4.02,1.15,1.72,0,183.04,0,12.62,33.85,490.6,1.15,2.87,3.44,0,0.57,6.89,0,0,0,0,0,94.1,0,13.2,0,1.15
 60-70,0.98,0,0,14.72,0,422.05,0,0,0,50.06,3.93,0,0,2.94,0,0.98,1.96,2.94,0,105.02,0.98,8.83,25.52,256.18,2.94,0,4.91,0,0,5.89,0,0,0,0,0,14.72,0,5.89,0,0
 72-82,0,0,0,15.71,1.96,160.99,0,0,0.98,47.12,5.89,0,1.96,2.94,0.98,2.94,0.98,2.94,0.98,131.54,0.98,10.8,28.47,196.33,0.98,3.93,5.89,0,0,6.87,0,0,1.96,0,0,2.94,0,15.71,0.98,0
 84-94,0,0,1.06,26.55,4.25,152.93,0,0,1.06,31.86,5.31,0,1.06,11.68,1.06,6.37,1.06,2.12,0,106.2,0,13.81,27.61,177.36,4.25,0,6.37,0,1.06,9.56,0,0,1.06,0,0,4.25,2.12,21.24,0,0
 96-106,0,0,0,27.32,1.09,106.01,1.09,0,2.19,44.81,6.56,0,3.28,13.11,2.19,1.09,2.19,2.19,0,72.13,0,5.46,14.21,166.11,2.19,7.65,10.93,0,0,5.46,0,0,0,0,0,4.37,1.09,13.11,1.09,0
108-118,0,0,0,17.62,5.36,102.64,0,0,0.77,31.4,9.96,0,0.77,13.79,2.3,2.3,2.3,0.77,0,48.26,0,6.13,11.49,199.92,3.06,6.89,3.06,0,0,6.13,0,0,1.53,0,0,0.77,0.77,13.02,0,0
120,0,0,0,17.64,13.72,119.55,0,0,0,50.95,0,0,0,11.76,1.96,0,0,1.96,0,31.36,0,3.92,13.72,148.94,0,3.92,5.88,0,0,5.88,0,0,0,0,0,1.96,0,1.96,0,0
