stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,164.17,0,0,6.57,0,0,0,0,0,0,108.35,0,0,0,0,0
 36-46,0,0,0,0,0,0,8.06,0,0,0,4.83,0,0.81,0,0,0,0.81,0,0,4.03,0,1.61,516.43,0,2.42,2.42,0,0,1.61,0,0,0,191.75,0,0,0,0,0
 48-58,0,0,0,2.87,0,0,142.3,0,0,1.15,8.61,0,0,0,0,0.57,1.72,0,0,11.48,0,0.57,819.97,0,0,10.33,0,0,0.57,0,0,0,204.85,0,0,0,0,0
 60-70,0,0,0,2.94,0.98,0,989.37,0.98,0,0,15.7,0,0,0,0,3.93,3.93,0,0,22.58,0,0,1380.02,0,1.96,17.67,0,0,0.98,0,0,0,248.33,0,0,0.98,0,0.98
 72-82,0,0.98,0,15.71,0,0,1724.78,0,0,3.93,71.66,0.98,0,1.96,0.98,0,8.83,0,0,48.1,0,0.98,1511.76,0.98,0,47.12,0,0,2.94,0.98,0.98,0,155.1,0,0.98,2.94,0.98,0.98
 84-94,0,0,0,36.11,0,1.06,965.39,0,2.12,3.19,57.35,2.12,2.12,2.12,1.06,1.06,10.62,0,0,47.79,2.12,3.19,820.95,1.06,2.12,50.98,0,1.06,4.25,1.06,0,0,100.89,1.06,1.06,3.19,2.12,1.06
 96-106,0,0,0,14.21,1.09,1.09,869.91,1.09,1.09,0,62.29,2.19,2.19,3.28,0,3.28,19.67,2.19,0,48.09,4.37,0,703.79,0,1.09,67.76,0,1.09,3.28,1.09,0,0,52.46,1.09,2.19,3.28,3.28,1.09
108-118,0,1.53,0.77,14.55,0.77,3.83,619.66,1.53,0,0.77,46.72,4.6,0,0,2.3,3.06,9.96,2.3,1.53,40.6,0.77,2.3,692.43,0.77,2.3,50.55,0,0,1.53,0,0,0,41.36,0,0,0.77,1.53,0.77
120,0,1.96,0,27.44,1.96,0,517.38,1.96,1.96,0,60.75,0,1.96,3.92,0,3.92,17.64,1.96,0,35.28,0,1.96,881.9,1.96,1.96,41.16,0,0,0,0,0,0,47.03,0,0,0,0,0
