stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,0,0,0,2,3,36,0,0,0,0,0
 24-34,0,0,4.93,0,0.82,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,355.43,0,19.7,0,0,0.82,1.64,0.82,88.65,0,0,3.28,0,0
 36-46,0,0,3.22,0,0.81,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,768.61,0,21.75,0.81,0,1.61,0.81,0,145.83,0,0,1.61,0,0.81
 48-58,0,0,1.72,0,4.02,0.57,0,60.82,0.57,0,0,5.16,0,0,0.57,0,0,1.15,0,0.57,9.18,0,0,0.57,919.24,1.15,9.75,0,0,1.15,1.15,0,137.71,0,0,0.57,0,1.15
 60-70,0,0,1.96,0,2.94,0.98,0,207.1,0.98,0,0,12.76,1.96,0,0,0.98,0,0,0,0,12.76,0,0,1.96,1544.92,0,11.78,0,0,0,0,0,150.17,0,0,3.93,0.98,0.98
 72-82,0,0,19.63,0,9.82,1.96,0.98,469.23,0,0.98,0,33.38,14.72,0.98,0,0.98,1.96,0.98,1.96,0,33.38,0,0.98,1.96,1405.74,0,11.78,0,0.98,3.93,0,0,74.61,2.94,0,5.89,0.98,0
 84-94,0,0,15.93,0,9.56,0,0,347.29,0,0,1.06,27.61,12.74,0,1.06,0,1.06,0,1.06,0,20.18,0,0,2.12,670.15,0,9.56,1.06,0,2.12,3.19,0,44.61,13.81,2.12,2.12,0,1.06
 96-106,0,0,17.49,0,9.84,2.19,0,314.74,0,1.09,0,30.6,20.76,0,1.09,1.09,1.09,0,2.19,1.09,17.49,0,0,1.09,579.21,1.09,13.11,0,0,7.65,0,0,33.88,8.74,0,1.09,0,2.19
108-118,0,0,8.43,0.77,13.02,1.53,0,244.34,0,0,0.77,18.38,9.19,0,2.3,0,0.77,0,0,0,12.26,0.77,0,2.3,649.54,1.53,9.19,2.3,0,1.53,1.53,0,16.09,4.6,0,3.06,0.77,0.77
120,1.96,0,5.88,0,13.72,1.96,0,201.86,1.96,0,0,15.68,0,1.96,3.92,3.92,0,0,3.92,0,15.68,0,0,1.96,776.08,0,9.8,0,0,5.88,1.96,0,19.6,0,0,0,0,0
