stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,31.54,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,37.76,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,4,0,3,0,0,0,0,2,0,2,36,2,0,0,1,1,0,5,3,17,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,2.46,0,0,0,0.82,3.28,0,0,35.3,0.82,0,0,0,0.82,0,0,0,8.21,0,0.82,0
 36-46,0,0,0,0,0,6.45,0,0.81,0,0,0,0,2.42,0,0,22.56,0,0.81,0,0,0,0.81,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,12.05,0,0,0,0.57,0.57,0,3.44,0.57,0,16.64,0,0,0,0,0,0.57,0,0,4.59,0,0,0
 60-70,0,0,0,0.98,0,17.67,0,2.94,0,0,0,0,5.89,0.98,0,13.74,0,0.98,0.98,0,0.98,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,0,0,4.91,0,0.98,0,0.98,0,0,5.89,0,0,12.76,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,6.37,0,2.12,0,0,0,0,5.31,0,1.06,9.56,0,0,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,4.37,1.09,9.84,0,0,0,0,0,1.09,6.56,0,0,9.84,0,0,0,0,1.09,1.09,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0,4.6,0.77,1.53,0.77,0.77,0.77,0,3.06,0,0,7.66,0,0.77,0,0,1.53,1.53,0,0,0,0.77,0,0
120,0,0,0,0,0,11.76,1.96,1.96,0,0,0,0,1.96,0,0,11.76,0,0,0,0,0,1.96,0,0,0,0,1.96,0
