stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,139.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0,0,44.06,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0
 48-58,0,0.57,0.57,0,0,0,8.61,0,0,0,0.57,0,0,12.62,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,2.94,0,0,21.59,0,0,0,0,0,0,33.37,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0,8.83,0,0.98,33.38,0,0,0,1.96,0.98,0,61.84,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,5.31,0,0,15.93,0,0,1.06,4.25,0,1.06,35.05,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,3.28,10.93,0,0,24.04,0,1.09,0,6.56,0,0,27.32,0,0,0,1.09,0,0,0,0
108-118,0,1.53,0.77,6.13,0.77,0,19.92,0,0,0,0.77,0.77,0.77,44.43,0,0,0,0.77,0,0,0.77,0
120,0,1.96,0,9.8,0,0,13.72,0,0,0,3.92,0,0,50.95,1.96,0,0,1.96,0,1.96,0,0
