stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,22.03,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,0,0,0.82,0,0,5.75,1.64,0,0,0,0.82,3.28,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,3.44,0,0,3.44,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,1.96,0,1.96,0.98,0,0,0,0,0,2.94,0,0,2.94,0.98,0,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,0,0.98,0,0,3.93,0.98,0,1.96,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,3.19,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,1.09,3.28,0,0,2.19,0,1.09,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0,0,0,2.3,0.77,0,1.53,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,3.92,0,0,0,0,3.92,0,0,0,1.96,0
