stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,2,1,0,0,3,0,0
 24-34,0,0,0,0,3.28,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,1.64,29.55,0,0,0,0,2.46,0,1.64,0,0,4.93,0.82,0
 36-46,0,0,0,0,0,0,4.83,0,0,0.81,0,0,0,0,0,0.81,0,0,0,4.83,0,0,0,30.62,0.81,2.42,0,0,4.03,0,0.81,0,0,8.86,2.42,0.81
 48-58,0,0,0,0,1.72,0,5.16,0,0,0,2.3,0,0,0,0.57,0,0,0,0.57,4.59,1.15,0,0,22.38,0.57,0.57,0,0,3.44,0,0,0,0,6.31,1.15,0
 60-70,0,0,0,0,2.94,0,10.8,0,0,0,5.89,0,0,0,0,0,0,0,1.96,3.93,0,0.98,0,36.32,0.98,0,0.98,0,0.98,0,0.98,0.98,0,5.89,0,0
 72-82,0,0,0,0,3.93,0.98,20.61,0,0.98,0,2.94,0,0,0,0,0,0.98,0,0,11.78,0,0.98,0,26.5,0,0.98,1.96,0,2.94,0,0,0,0,1.96,2.94,0.98
 84-94,0,0,0,0,2.12,0,11.68,0,2.12,1.06,4.25,0,0,0,1.06,1.06,2.12,1.06,0,2.12,0,0,1.06,14.87,0,1.06,2.12,0,14.87,0,1.06,0,0,3.19,1.06,0
 96-106,0,0,1.09,0,1.09,1.09,5.46,0,0,0,0,1.09,0,1.09,0,0,1.09,0,1.09,10.93,0,0,0,8.74,1.09,0,1.09,0,12.02,0,0,1.09,0,0,1.09,1.09
108-118,0,0,0,0,3.06,1.53,4.6,0.77,0.77,0,0.77,0.77,0,0,0,1.53,0,0,0,3.06,0,0,1.53,13.02,0,1.53,0,0,5.36,0,0,0,0,0,1.53,0
120,0,0,0,0,11.76,0,7.84,0,1.96,0,0,0,0,0,0,3.92,0,1.96,0,5.88,0,0,0,15.68,1.96,3.92,1.96,0,9.8,0,0,0,0,0,0,1.96
