stage,blastomeres,eye,fin.epithelia,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,5.26,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,9,0,0,1,2,0
 24-34,0,1.64,0,0,0,18.06,1.64,0,0,5.75,0
 36-46,0,3.22,0,0.81,0,4.83,0,0,0,4.83,0
 48-58,0,1.15,0.57,0,0,2.87,0,0,0,1.15,0
 60-70,0,2.94,0,0,0,0.98,0.98,0,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,1.96
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0
