stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,3.28,0,0,0,0,0.82,0,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,5.64,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,2.3,0,0,0,0,0,0,0,1.15,0,0.57,5.16,0,0,0,0,0,0,1.72,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,0,1.06,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,2.12,0,1.06,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0,0.77,0.77,0,0,0,0,0,0.77,0,1.53,0.77,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,3.92,1.96,1.96,1.96,0,0,0,0,0,0,0,1.96
