stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,1,1,19,0,0,2,0,0,37,0,0
 24-34,0,0,0,0.82,110.82,4.93,0,2.46,0,0,1.64,0.82,0,3.28,0,0.82,0,2.46,1.64,0,3.28,0.82,0,1.64,27.91,0,0,0,0,0.82,0,79.62,0,1.64,9.03,0,0,259.39,0,0
 36-46,0,0,0,0,105.54,0,0,7.25,3.22,0,0,0,0,3.22,0,0,0,0,0.81,2.42,2.42,2.42,0,2.42,35.45,0,0,0,0,1.61,0,52.37,0,0,8.86,0,0,176.44,0,0
 48-58,0,0,0,0,79.19,0,0,9.18,0.57,0,4.02,0.57,0,1.72,0,0,0,1.15,0,4.02,5.74,1.15,0.57,2.3,32.71,0.57,0.57,0,0,0.57,0,27.54,0,0,6.31,0,0,128.53,0,1.15
 60-70,0,0,0,0,48.09,0.98,0,7.85,0.98,0,2.94,6.87,0,2.94,0,0,0.98,0,0,2.94,1.96,1.96,0,0,25.52,0,0,0,0,0,0,40.24,0,0,1.96,0,0,83.43,0,0
 72-82,0,0,2.94,0,15.71,0.98,0,15.71,0.98,2.94,0.98,68.72,0,0.98,0.98,0,0,1.96,0,4.91,7.85,1.96,1.96,0,41.23,0.98,0.98,0,0,2.94,0,69.7,0,0,3.93,0,0,142.34,0,0
 84-94,0,0,0,0,25.49,3.19,1.06,10.62,1.06,2.12,1.06,151.87,0,0,0,0,1.06,0,1.06,6.37,7.43,1.06,0,2.12,18.05,0,0,0,0,5.31,0,133.82,0,0,1.06,1.06,0,155.06,0,1.06
 96-106,0,0,2.19,0,7.65,2.19,0,17.49,0,0,4.37,193.43,0,1.09,2.19,0,1.09,0,1.09,8.74,13.11,1.09,1.09,1.09,31.69,0,0,0,0,6.56,1.09,122.4,0,0,2.19,0,0,162.83,1.09,0
108-118,0,0,1.53,0,7.66,0.77,0,6.89,3.06,0.77,0.77,186.89,0,0,0.77,0,0,0.77,1.53,8.43,11.49,0,0,0,16.85,0,1.53,0.77,0,0.77,0,122.55,0.77,0,0.77,0,0.77,147.06,0,0
120,0,0,0,0,5.88,0,0,5.88,0,3.92,5.88,121.51,1.96,0,0,0,0,0,0,3.92,5.88,0,0,0,13.72,0,0,0,0,3.92,0,68.59,0,0,0,0,0,103.87,1.96,0
