stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
 24-34,0,0,1.64,0.82,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,1.61,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,0,0,0,0,0.57,0,3.44,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,1.96,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0.98,0.98,1.96,0,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,0,0,0,1.06,0,0,1.06,0,1.06,0,0
 96-106,0,0,2.19,0,1.09,0,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0.77,0,0,0.77,0
120,0,1.96,0,0,0,0,0,0,0,0,1.96,3.92,1.96,0,0,0,0,0,0
