stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,20,2,43,0,0,0,2,1,0,0,0,0,0,0,0,0,11,0,5,309,1,0,0,2,0,0,7,0,3,32,0,0,0,0,0
 24-34,0,2.46,0,8.21,1.64,38.58,0,0,0.82,2.46,0,0.82,3.28,0,0,0.82,0.82,0,0,57.46,0.82,21.34,496.62,2.46,2.46,5.75,0,0,3.28,0,4.1,1.64,47.61,0,0,3.28,0,0.82
 36-46,0,0,0,8.06,0.81,30.62,0.81,1.61,1.61,9.67,0,0,2.42,0,0,0,1.61,0,0,81.37,3.22,29.81,488.24,2.42,0.81,5.64,0,0,1.61,0,0,0,66.87,0,0,0,0,1.61
 48-58,0,0,0,6.31,0.57,125.09,0,1.15,7.46,32.13,0,0,5.74,0,0,0,0.57,0.57,0,136.57,5.16,24.67,463.06,1.15,0.57,5.74,0,1.15,1.72,0,2.87,0,87.22,0,0,1.15,0,1.15
 60-70,0.98,0,0,1.96,0.98,165.88,1.96,0.98,1.96,41.22,0.98,0,1.96,0,0,0,0.98,0,0,141.34,6.87,14.72,414.2,0.98,0.98,3.93,0,1.96,3.93,0,2.94,0,46.13,0,3.93,1.96,0,0.98
 72-82,0,0,0,7.85,0,144.3,0.98,0.98,7.85,53.99,0.98,0,3.93,0,0,1.96,1.96,0,0,161.97,4.91,20.61,405.43,0.98,0,10.8,0,0.98,0,0,0,0,26.5,2.94,6.87,4.91,4.91,2.94
 84-94,0,0,0,7.43,1.06,108.33,4.25,1.06,3.19,37.17,0,0,4.25,1.06,0,2.12,3.19,0,4.25,99.83,7.43,12.74,200.73,0,0,11.68,0,0,6.37,0,1.06,0,22.3,3.19,5.31,2.12,5.31,2.12
 96-106,0,0,0,8.74,0,83.06,1.09,0,3.28,36.06,1.09,0,1.09,1.09,0,7.65,2.19,0,1.09,60.11,7.65,8.74,209.83,0,7.65,16.39,0,0,4.37,0,1.09,0,4.37,7.65,3.28,3.28,9.84,2.19
108-118,0,0,0,6.13,0,90.38,1.53,1.53,1.53,13.79,0.77,0,0.77,0.77,0.77,9.19,1.53,0,0,55.92,5.36,9.19,195.32,0,3.83,19.15,0,0.77,0.77,0,0,0,3.06,9.96,0.77,2.3,6.13,3.06
120,0,0,1.96,7.84,1.96,78.39,0,0,0,19.6,1.96,0,0,0,0,7.84,0,0,0,50.95,3.92,5.88,223.42,1.96,3.92,13.72,0,1.96,0,0,0,0,15.68,7.84,1.96,7.84,5.88,3.92
