stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,3,2,0,0,1,0,0
 24-34,0,0,0.82,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,6.57,0,1.64,20.52,0.82,0,0,0,0,0,0,0,0.82,1.64,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,1.61,0.81,0,0,0,0,0,0,0,0,9.67,0.81,1.61,20.95,1.61,1.61,0,0.81,0.81,0,0,0,0,3.22,0,0,4.03,0,0
 48-58,0,0,1.15,0,4.59,0,0.57,1.72,0,0.57,0,0,0,0,0,0.57,13.2,0,1.15,5.16,0.57,0.57,0,0,0,0,0,0.57,0,1.15,0,0,1.15,0,0
 60-70,0,0,0,0,2.94,0.98,0,4.91,0,0.98,0,0,0,0,0,0,35.33,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,1.96,0,0,3.93,0,0,0.98,0,0,0,0,0,32.39,1.96,2.94,3.93,0,0.98,0,0,0,0,0,0,0,0,0,1.96,6.87,0,0
 84-94,0,0,2.12,0,8.5,1.06,0,5.31,0,0,0,0,0,1.06,3.19,0,24.43,1.06,0,5.31,0,0,0,0,1.06,0,0,0,0,0,0,0,4.25,1.06,1.06
 96-106,0,0,4.37,0,12.02,1.09,0,4.37,1.09,0,0,1.09,3.28,0,0,0,31.69,0,4.37,4.37,0,0,0,0,0,0,0,0,0,0,1.09,0,3.28,1.09,0
108-118,0,0,2.3,0.77,9.19,0.77,0,2.3,0,0,0,0,0,0,2.3,0,18.38,0.77,0,6.13,2.3,0.77,0,0,0.77,0,0,0,0,1.53,0,0,5.36,0,0.77
120,0,0,5.88,0,9.8,1.96,1.96,5.88,0,0,0,1.96,0,0,1.96,0,7.84,0,1.96,5.88,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
