stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,35,2,0,1,0,1,0,0,0,4,0,0,1,0,0,0,6,0,0,7,62,3,0,1,0,0,0,9,1,1,7,6,0,0,0,0,0
 24-34,0,0.82,7.39,0.82,0,15.6,0,0,0,0.82,0,0,2.46,0.82,0,0,0,0,10.67,0,0,6.57,87.83,0.82,0,1.64,0,2.46,0,0,1.64,1.64,1.64,8.21,0,0,0.82,0,0
 36-46,0,0,4.03,0,0,5.64,0,0.81,0,2.42,0,0,0,0,0,0,0,0.81,6.45,0,0,1.61,24.17,0.81,0,0.81,0,0,0,0,0,0,0,4.03,0,0,2.42,0,0
 48-58,0,0,3.44,0,0,8.61,0,0,0,4.59,0,0,0.57,0,0.57,0.57,0,0.57,17.79,0.57,0.57,2.87,9.75,0,0.57,0,0,1.15,0,0,0,0,0,2.87,0,0,0.57,0,0.57
 60-70,0.98,0,2.94,0,0,10.8,0,0.98,0,10.8,0,0,0.98,0,0.98,0,0,0,22.58,0,0,0.98,10.8,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,0,5.89,0,0,0,7.85,0,0.98,0,0,0,0,0,0,26.5,0,0.98,1.96,11.78,0,0,2.94,0.98,0.98,0,0,0,0,0,0,0,0.98,1.96,0,0
 84-94,0,0,2.12,0,1.06,4.25,0,0,0,4.25,0,0,0,0,0,0,0,1.06,9.56,0,0,2.12,6.37,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,2.19,1.09,0,2.19,5.46,0,0,0,1.09,1.09,1.09,0,0,13.11,0,0,0,14.21,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,2.3,0.77,0.77,4.6,0,0,0.77,6.13,0.77,0,0,4.6,0,0,1.53,0.77,12.26,0.77,0,1.53,12.26,0,0,0.77,0,0.77,0,0,0.77,0,0,0,0.77,0,0.77,0.77,0
120,0,0,5.88,0,0,3.92,0,1.96,0,3.92,0,0,0,1.96,0,0,0,0,5.88,0,0,0,9.8,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
