stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,3083.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,2243.45,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,79.69,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,76.23,0,65.72,0,2.63,210.3,0,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,1608.77,39.43,0,0,696.61,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,59.79,0,78.67,0,3.15,242.32,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,1645.86,47.2,0,0,626.25,0,3.15,12.59,6.29,66.09,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,8,71,34,92,0,0,0,25,5,0,4,0,6,0,1,0,0,63,0,0,36,1501,23,11,8,37,0,12,1,79,3,1,79,385,0,0,4,0,0
 24-34,0,0,0,1.64,23.8,12.31,375.13,0,0,1.64,36.12,0.82,0.82,1.64,1.64,2.46,1.64,3.28,0,1.64,119.84,0.82,2.46,38.58,2016.02,4.93,18.06,13.13,0,0.82,18.88,0,0.82,1.64,0,5.75,369.39,0,0,17.24,0,4.93
 36-46,0,0,0,0,7.25,10.47,527.71,0,1.61,1.61,21.75,0,0,2.42,0.81,0,0,0.81,0,0,107.96,0,3.22,25.78,999.03,4.03,8.86,2.42,0,0,12.09,0,0.81,1.61,0,0,174.02,0,0,8.86,0,0.81
 48-58,0,0,0,0,13.2,1.15,475.68,0.57,1.15,2.87,33.85,0.57,0,1.72,1.72,0,0.57,2.3,1.15,0,106.73,0,7.46,22.95,387.89,1.72,4.02,3.44,0,0,4.59,0,0,0,0.57,0,45.33,0,0,5.16,0,0
 60-70,0,0,0,0,12.76,0,252.25,0,0,0.98,50.06,0.98,0,0.98,0.98,0.98,0.98,1.96,0.98,0,60.85,0,3.93,14.72,192.38,0.98,3.93,1.96,0,0,2.94,0,0,0,0,0,6.87,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,14.72,0.98,126.63,0,0,3.93,45.16,0.98,0,0,1.96,1.96,0,1.96,1.96,0,69.7,1.96,3.93,14.72,167.86,0,9.82,1.96,0,0.98,0.98,0,0,0.98,0,0,4.91,0.98,2.94,2.94,0,0
 84-94,0,0,0,0,15.93,5.31,101.96,0,1.06,3.19,37.17,4.25,0,0,4.25,3.19,2.12,1.06,3.19,0,72.22,0,4.25,19.12,146.56,1.06,4.25,4.25,0,1.06,4.25,0,0,1.06,0,0,2.12,1.06,0,7.43,2.12,0
 96-106,0,0,0,0,7.65,2.19,75.41,0,0,0,30.6,3.28,0,2.19,5.46,0,0,0,1.09,0,42.62,0,0,7.65,98.36,0,3.28,3.28,0,3.28,0,0,0,0,0,0,1.09,0,0,4.37,0,0
108-118,0,0,0,0,9.19,6.13,85.02,0,0,2.3,27.57,3.06,0,0.77,3.83,2.3,0.77,0,3.06,0,39.83,0,2.3,13.02,193.79,0.77,4.6,2.3,0,1.53,6.89,0,0,0,0,0,2.3,2.3,0,4.6,0,0
120,0,0,0,0,9.8,21.56,78.39,0,3.92,1.96,43.12,1.96,0,1.96,7.84,0,1.96,1.96,0,0,37.24,0,3.92,17.64,123.47,0,3.92,3.92,0,0,5.88,0,0,0,0,0,3.92,0,0,9.8,1.96,0
