stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,57.83,2.63,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,44.06,6.29,6.29,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
 24-34,0,0,7.39,0,0,0,0.82,0.82,0,0,3.28,0,0,0,0.82,0,0
 36-46,0,0,18.53,0,0,0,0,0,0,0.81,4.03,0,0,0,4.03,0,0
 48-58,0,0.57,12.05,0,0,0,0,0,0,0,4.02,0,0,0,0.57,0.57,0
 60-70,0,0,25.52,0.98,0.98,0,0,0,0,0,3.93,0,0,0.98,0.98,0,0.98
 72-82,0,0,26.5,0,0,0,1.96,0,0.98,0,2.94,0,0,0,0,0,0
 84-94,0,0,16.99,1.06,0,1.06,2.12,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,9.84,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,10.72,0,0.77,0,0.77,0,0,0.77,4.6,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
