stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,mesenchyme,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord
 14-21,0,0,1,0,0,0,1,0,2,1,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0.81
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,3.44,0,0.57
 60-70,0,0,1.96,0,0,0,0,0,0,2.94,0,4.91,0,0
 72-82,0,0.98,1.96,0,0,0,0,0,0,2.94,0,5.89,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,2.12,0,13.81,0,0
 96-106,1.09,0,1.09,1.09,0,1.09,1.09,1.09,0,0,0,34.97,0,0
108-118,0,0,0,0,0.77,0.77,0,0,1.53,0,0,19.15,0,0
120,0,0,0,0,0,0,1.96,0,1.96,1.96,1.96,21.56,0,0
