stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,5.26,0,0,28.92,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,27,6,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0
 24-34,0,0,0.82,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,32.83,0,0,21.34,27.91,0.82,0,0.82,0,0,0,0,0,0,1.64,1.64,15.6,0,0.82,0,0
 36-46,0,0,0,0,0,4.83,0.81,0,1.61,20.14,0,0,0,0,0,0,0,0,12.89,0,0,20.95,23.36,0,0,0.81,0,0,0,0,0,0,0,0,38.67,0.81,1.61,0,0
 48-58,0,0,0.57,0.57,0,17.21,0,0.57,2.87,102.14,0,1.15,0,0,0,0.57,0,0.57,37.3,0,0,9.75,36.15,0,0,0,0,0,0.57,0,0,0,0.57,0,82.05,0.57,4.02,0,0
 60-70,0,0,5.89,0,0,28.46,0,0.98,18.65,239.49,0,0,0,0,0,0,0,0,99.13,0,4.91,8.83,36.32,0,0.98,0,0,10.8,0,0,0,0,0,0,53,2.94,8.83,5.89,0
 72-82,0,0,15.71,1.96,0,69.7,0.98,1.96,32.39,366.16,1.96,0,0,0,0,0.98,0,0,213.02,0,16.69,16.69,51.05,0,0,0.98,0,15.71,1.96,0,0,0,0,0,53.99,17.67,24.54,20.61,0
 84-94,0,0,22.3,1.06,0,57.35,0,0,31.86,217.72,2.12,1.06,1.06,0,1.06,1.06,0,0,134.88,0,19.12,6.37,29.74,0,0,0,0,8.5,1.06,0,0,0,0,0,52.04,15.93,16.99,19.12,0
 96-106,0,0,54.64,2.19,0,59.01,2.19,3.28,27.32,232.78,0,1.09,1.09,0,1.09,3.28,1.09,0,234.96,0,12.02,14.21,65.57,0,1.09,0,0,26.23,3.28,0,0,2.19,0,0,68.85,13.11,25.14,32.79,0
108-118,0,0,101.11,0.77,0.77,29.11,0.77,5.36,24.51,210.64,0,0,0,0.77,0.77,1.53,1.53,0,193.02,0.77,13.79,8.43,49.79,0,0.77,0,0,35.23,0,0.77,0,0.77,0.77,0,30.64,30.64,23.74,35.23,1.53
120,0,0,78.39,1.96,0,27.44,0,7.84,9.8,276.33,0,0,3.92,0,0,0,1.96,0,162.66,0,13.72,7.84,60.75,0,0,0,0,19.6,0,0,0,0,0,0,41.16,15.68,39.2,41.16,0
