stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,gut,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,5.26,0,0,0,2.63,0,0,5.26,0,0,0,0,94.63,2.63,44.69,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,31.47,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,1,0,0,0,1,0,4,2,0,0,0,4,1,5,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,2.46,1.64,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,6.37,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,3.28,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,0,0,0,3.06,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
