stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,neural,olfactory,otic,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0,3.28
 36-46,0,1.61,0,0,0,0,0,0,8.86,0.81,0,0.81,7.25
 48-58,0,0,0,0,0,0,0,0,9.18,0,0,0,0.57
 60-70,0,4.91,0,0,0,0,0,0,18.65,0,0.98,0,1.96
 72-82,0,15.71,0,0,0.98,0,0.98,0,16.69,0,0.98,1.96,3.93
 84-94,0,8.5,1.06,1.06,0,1.06,0,0,16.99,0,0,0,1.06
 96-106,0,5.46,0,0,1.09,0,0,0,8.74,0,0,0,0
108-118,0,1.53,0.77,0,1.53,0,0,1.53,8.43,0,0,0,1.53
120,1.96,1.96,0,0,1.96,0,0,3.92,15.68,0,0,0,0
