stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mucous,muscle,neural,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,1.64,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0.81,0,1.61,0.81
 48-58,0,0.57,0,0,0.57,0,0,0,0,0,0.57,0,0,4.59,0,1.15,0
 60-70,0,0,0,0,0.98,0.98,0,1.96,1.96,0,0,0,0.98,6.87,0,0,0.98
 72-82,0,0,0.98,1.96,0,0,0,0,0.98,0,0,0.98,0,5.89,0,0,0
 84-94,0,0,0,1.06,4.25,0,0,1.06,8.5,0,0,0,0,5.31,1.06,0,0
 96-106,0,0,0,2.19,2.19,0,0,0,1.09,0,0,0,0,7.65,0,0,0
108-118,0,0,0,10.72,0.77,0,0,0.77,3.06,0.77,0,0,0,2.3,0,0,0
120,0,1.96,0,0,5.88,0,0,1.96,9.8,0,1.96,0,0,5.88,0,1.96,0
