stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,1,0,5,0,0,1,3,0,0,0,0,0,0,0,1,7,0,0,2,58,2,0,3,0,0,4,1,0,2,4,23,0,0,2,0,0
 24-34,0,0,0,0,4.1,0,0,10.67,0,0,0.82,0.82,0,0.82,0,0.82,0,0,0,0,9.03,0,0,8.21,87.83,0.82,0,1.64,0,0,10.67,0,0.82,0,2.46,15.6,0,0,4.1,0,0.82
 36-46,0,0,0.81,0,1.61,0,0,10.47,0,0.81,6.45,0,0,0,0,1.61,0.81,0,0,0,11.28,0,0,0,92.65,0,1.61,0,0,0,5.64,0,0,0,0,20.14,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,17.79,0,0,5.74,0.57,0,0,0,0,0,0,0,0,13.77,0,0.57,3.44,51.64,0.57,0,0.57,0,0,2.3,0,0,0,0,12.05,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,0,11.78,0,0.98,4.91,0,0,0,0,0,0.98,0,0,0,9.82,0,0,0,11.78,0.98,0,0.98,0,0,0.98,0,0,0,0,3.93,0,0,2.94,0,0
 72-82,0,0,0.98,0,0,0,0,35.34,0,0.98,17.67,1.96,0,0.98,0.98,0,0,1.96,0,0,23.56,0.98,0,9.82,63.81,0.98,3.93,0.98,0,0.98,4.91,0,0.98,0,0,2.94,0,0.98,1.96,0,0
 84-94,0,0,1.06,0,2.12,0,1.06,28.68,1.06,1.06,8.5,0,1.06,1.06,3.19,0,0,1.06,0,1.06,21.24,1.06,1.06,0,27.61,1.06,0,1.06,0,0,11.68,0,0,1.06,0,3.19,0,1.06,3.19,2.12,0
 96-106,0,0,0,0,6.56,0,0,8.74,0,0,14.21,1.09,0,0,2.19,0,0,0,0,1.09,12.02,2.19,1.09,2.19,29.51,0,1.09,2.19,0,1.09,5.46,0,2.19,0,0,5.46,0,0,4.37,0,2.19
108-118,0,0,0.77,0,4.6,0.77,0,17.62,0.77,0.77,16.85,3.06,0,0,2.3,0.77,2.3,0,0.77,0.77,16.09,0,0,2.3,36,0,1.53,1.53,0,0.77,6.89,0,1.53,0,0,1.53,0.77,0,2.3,0,0
120,0,0,0,1.96,3.92,0,0,13.72,0,3.92,15.68,0,0,0,3.92,1.96,0,1.96,0,0,17.64,0,0,3.92,25.48,0,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
