stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,7.89,0,18.4,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,212.93,7.89,0,0,76.23,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,3.15,31.47,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,210.85,3.15,0,0,56.65,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,17,5,12,0,0,0,2,0,1,0,1,0,0,1,1,10,0,0,6,110,4,0,3,4,0,1,2,22,2,1,19,46,0,0,3,0,0
 24-34,0,0,0,1.64,2.46,2.46,25.45,2.46,2.46,4.1,0,0,0,0.82,2.46,0,0,0,0,18.88,4.1,0,8.21,243.79,0.82,3.28,4.1,0,0,19.7,0,0,2.46,0,1.64,63.21,0,0,5.75,0,0
 36-46,0,0,0,0,5.64,0,71.7,0,2.42,8.86,0,0,0.81,1.61,0.81,0,0,0,0,33.84,0,0,13.7,355.3,3.22,4.03,0,0,0,10.47,0,0,0,0.81,0,80.57,0,0,3.22,0,0
 48-58,0,0,0,0,2.87,0.57,78.04,0.57,0.57,20.08,0.57,0,0,2.87,0,0,0.57,1.15,0.57,39.59,1.15,0,5.16,236.41,0,1.72,0.57,0,0,10.33,0,0,0,0,0,45.33,0,0,6.31,0,2.3
 60-70,0,0,0,0,3.93,0,119.75,0,0.98,32.39,3.93,0.98,0,0,0,1.96,0,0,0.98,45.15,0.98,2.94,4.91,245.38,0.98,2.94,1.96,0,0,11.78,0,0,1.96,0,0,31.41,0,1.96,2.94,0,0.98
 72-82,0,0,0.98,0,9.82,3.93,71.66,1.96,1.96,29.45,0,0,0.98,2.94,0,0.98,0.98,0,0,72.64,0.98,4.91,6.87,170.81,0.98,4.91,2.94,0,0.98,7.85,0,0,0,0,0,8.83,0,3.93,6.87,5.89,0.98
 84-94,0,0,1.06,0,12.74,6.37,57.35,0,1.06,27.61,3.19,0,1.06,4.25,2.12,1.06,2.12,1.06,0,36.11,0,3.19,7.43,88.15,1.06,1.06,2.12,0,0,36.11,0,0,1.06,0,0,14.87,1.06,2.12,6.37,0,2.12
 96-106,0,0,0,0,16.39,3.28,42.62,1.09,2.19,21.86,3.28,0,0,8.74,3.28,1.09,3.28,0,0,59.01,0,1.09,9.84,83.06,0,4.37,2.19,0,0,21.86,0,0,1.09,0,0,2.19,2.19,0,7.65,5.46,2.19
108-118,0,0,0,0,18.38,2.3,43.66,3.83,1.53,18.38,3.06,0,0,1.53,2.3,3.83,3.83,0.77,3.06,26.04,0.77,2.3,7.66,95.75,1.53,3.06,3.83,0,2.3,17.62,0,0,2.3,0,0,4.6,0.77,0,5.36,0.77,3.83
120,0,0,0,0,21.56,9.8,33.32,1.96,0,15.68,1.96,0,1.96,3.92,3.92,5.88,0,0,0,21.56,1.96,1.96,9.8,97.99,0,3.92,0,0,1.96,27.44,0,0,1.96,0,0,3.92,5.88,1.96,7.84,0,1.96
