stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,28.92,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,25.18,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0
 24-34,0,0,0,0.82,0,0.82,0.82,0,0.82,0,16.42,0.82,0,0,0,0,0.82,2.46,0
 36-46,0,0,0,0,0,2.42,0,0,2.42,0,9.67,0,0,0,0,0,0,3.22,0
 48-58,0,0,0,1.15,0,6.89,0.57,0,0.57,0,11.48,0.57,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,4.91,0,0,0.98,0,8.83,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0.98,3.93,0,0,2.94,0.98,13.74,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,3.19,0,4.25,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0.77,0,1.53,0,0.77,0,0.77,0,0,0,0.77
120,0,0,0,3.92,0,0,3.92,1.96,1.96,0,15.68,0,0,0,0,0,0,0,0
