stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,4,1,0,0,0,8,0,0,0,0,0,0,2,0,0,1,11,7,0,57,0,69,6,0,77,196,0,0,0,0,0
 24-34,0,1.64,4.1,3.28,0,2.46,13.13,35.3,1.64,0,0,0,0,0,29.55,0,0,62.39,24.63,5.75,0,0,0,0.82,0.82,3.28,187.16,215.89,0,0,5.75,0,0
 36-46,0,0,0,1.61,0,1.61,33.03,21.75,0,0,0,0,0,0.81,47.53,0,0,87.82,20.95,0,0,0,0.81,0.81,0,2.42,0,214.31,0,0,5.64,0,0.81
 48-58,0,0.57,0,6.89,0.57,0,25.25,26.97,0.57,0,0,0,0.57,1.72,46.48,0,0,48.2,26.97,0,0,0,0.57,0.57,0,1.15,0,224.93,0,0,3.44,0,1.72
 60-70,0,0,0,5.89,1.96,0.98,22.58,16.69,0,0.98,0,0,0,0.98,36.32,0,0,26.5,33.37,0,0.98,0,0.98,0,0,1.96,0,235.57,0,0,1.96,0,0.98
 72-82,0,0.98,0,8.83,0.98,0.98,28.47,60.86,0.98,0.98,0.98,0,0,2.94,40.25,0.98,0,25.52,31.41,0.98,0,0,0.98,0,0,0.98,0,184.55,0.98,0,1.96,0,0
 84-94,0,2.12,1.06,26.55,1.06,0,19.12,36.11,0,0,0,1.06,0,2.12,33.99,0,1.06,18.05,22.3,0,0,0,0,0,0,0,0,123.2,0,0,1.06,2.12,0
 96-106,0,0,0,4.37,1.09,0,20.76,29.51,0,0,1.09,0,0,0,25.14,0,0,12.02,21.86,1.09,0,0,1.09,0,0,0,0,44.81,0,0,2.19,0,1.09
108-118,0,0.77,1.53,3.06,0.77,0,6.13,19.15,0,0,0,0,0,0.77,13.79,0,0,15.32,14.55,0.77,0,0,0,0,0,1.53,0,27.57,0,0.77,0.77,0,0.77
120,0,0,0,1.96,0,0,7.84,17.64,0,1.96,0,0,0,0,13.72,0,0,3.92,9.8,0,0,0,1.96,0,0,0,0,15.68,0,0,0,0,0
