stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,453.59,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,31.54,0,60.46,0,0,81.49,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,462.65,34.17,0,0,126.18,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,72.38,0,15.73,56.65,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,629.39,22.03,0,0,103.85,0,3.15,0,0,37.76,0,3.15,0,0,0,0,0
 14-21,0,0,0,8,32,77,20,0,0,0,14,6,0,2,0,0,0,0,0,0,25,0,0,7,369,5,9,19,2,0,0,1,1,4,6,153,0,0,2,0,0
 24-34,0,0,0.82,0,4.1,22.98,73.06,0,0,0,11.49,1.64,0,7.39,0,0.82,0,0,0.82,1.64,24.63,0.82,0,9.03,1080.25,0,25.45,18.06,0,0,1.64,0.82,0,4.93,0,251.18,0,0,13.95,0,0.82
 36-46,0,0,0,0,2.42,8.86,352.08,0.81,0,0.81,45.12,0,0,4.83,0,0,0,0.81,0,0,41.89,0,0.81,8.06,2005.31,0.81,29.81,5.64,0,0,0.81,0.81,0,2.42,0,367.39,0,0.81,7.25,0,0.81
 48-58,0,0,0,0,8.61,63.69,841.77,0,1.72,1.15,104.43,0.57,0,11.48,0,0,0,1.15,0.57,1.72,62.54,1.15,3.44,9.75,2148.9,1.15,17.21,3.44,0,0.57,1.15,0,0,0,0,387.89,0,1.15,8.03,0,1.72
 60-70,0.98,0,0.98,0,8.83,91.28,1440.87,0,0.98,2.94,123.67,0,0.98,8.83,0.98,0.98,0.98,0,0,0.98,74.6,0,3.93,8.83,2386.08,0,19.63,6.87,0,0,0.98,0,0,4.91,0,257.16,0,0.98,5.89,0.98,5.89
 72-82,0,0,5.89,0,16.69,282.72,957.12,1.96,0,5.89,179.64,3.93,0,13.74,2.94,0.98,0,0,0,0.98,100.13,1.96,2.94,7.85,1834.73,0.98,34.36,11.78,0,2.94,1.96,0,0,0,0,100.13,0.98,3.93,8.83,0.98,0.98
 84-94,0,0,1.06,0,22.3,176.3,551.2,1.06,0,1.06,106.2,5.31,0,3.19,1.06,0,2.12,2.12,1.06,0,67.97,0,5.31,7.43,789.09,1.06,11.68,11.68,0,1.06,4.25,0,0,1.06,0,47.79,1.06,4.25,9.56,2.12,1.06
 96-106,0,0,4.37,0,18.58,259,357.36,0,3.28,3.28,91.8,6.56,0,8.74,3.28,1.09,3.28,1.09,2.19,0,46.99,1.09,1.09,3.28,649.15,0,15.3,9.84,0,1.09,2.19,0,0,1.09,0,22.95,0,1.09,6.56,0,0
108-118,0,0,1.53,0,6.13,116.43,277.28,0,0.77,1.53,72,0,0,2.3,0,0,0,0,0.77,0,32.17,0.77,1.53,0.77,726.13,1.53,13.02,5.36,0,1.53,3.06,0,0,0,0,10.72,3.06,0.77,4.6,2.3,0.77
120,0,0,0,0,17.64,160.7,301.81,0,0,3.92,103.87,1.96,0,7.84,0,1.96,0,0,3.92,0,31.36,0,1.96,3.92,1019.09,1.96,23.52,11.76,0,0,1.96,0,0,0,0,15.68,0,0,3.92,0,0
