stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,73.6,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,12.59,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,3,2,1,0,0,1,0,0,0,0,1,0,0,17,0,1,0,0,0,3,3,0,5,0,0,0
 24-34,0.82,0,0,0.82,0,0,0,0,0,2.46,0,0,0,0.82,4.1,0,0.82,15.6,0,0.82,2.46,0,0,0,0,0.82,3.28,0,0,1.64
 36-46,0,0,0,0,1.61,0,3.22,0,0,0.81,0,0,0,0,3.22,0,0.81,5.64,0,0,1.61,0,0,0,0,0,0.81,0,0,2.42
 48-58,0,0,0,0,0,0,1.72,0,0,1.15,0.57,0.57,0,0,0.57,0.57,0,1.15,0,0,0,0,1.72,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0.98,0.98,0.98,0,0,0,3.93,0,0,1.96,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,0,0.98,1.96,0.98,0,0,0.98,1.96,0,0,4.91,0,0.98,2.94,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,2.12,0,3.19,0,0,2.12,1.06,0,0,0,3.19,0,0,2.12,0,5.31,0,0,7.43,0,1.06,0,0,1.06,0,0
 96-106,0,0,1.09,0,1.09,0,1.09,0,0,5.46,0,0,0,2.19,6.56,0,0,4.37,0,5.46,4.37,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0.77,0,3.06,0,2.3,0,0,4.6,0,0,0,0,1.53,0,0.77,4.6,0.77,0,0,0,5.36,0,0,0,1.53,0.77,0,1.53
120,0,0,0,0,3.92,0,0,1.96,1.96,1.96,0,0,0,1.96,0,0,0,5.88,0,0,3.92,0,0,0,1.96,0,0,0,1.96,0
