stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,2,0,0,0,1,0
 24-34,0,0,1.64,0,0,0,0.82,1.64,0,0,0,0.82,0
 36-46,0,0,1.61,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,2.94,0,0,1.96,0,0.98
 72-82,0,0,0.98,0.98,0,1.96,0,3.93,4.91,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,2.12,3.19,0,0,0,0
 96-106,0,0,2.19,0,1.09,2.19,0,1.09,12.02,0,0,0,0
108-118,0,0.77,0.77,0,0,0,0,3.06,4.6,0,0,0,0
120,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
