stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,70,2072,155,0,50,0,8,0,5,45,10,15,0,44,0,2,1,0,425,9,0,184,451,4,5,19,51,0,115,109,15,1,30,117,0,4,0,0
 24-34,0.82,0,19.7,572.14,7.39,0,32.83,0,67.31,2.46,1.64,18.06,0,13.95,0,9.85,0.82,3.28,13.95,0,279.91,10.67,6.57,68.13,178.13,0,9.85,22.16,0,3.28,43.51,0,0.82,0.82,5.75,37.76,0,11.49,0,0.82
 36-46,0,0,3.22,325.49,0,0,8.86,0,81.37,7.25,4.03,13.7,0,17.72,0,4.03,0.81,4.83,5.64,0.81,253.79,4.03,23.36,36.26,107.96,2.42,5.64,12.09,0,0.81,18.53,0.81,0,0.81,0,26.59,0.81,4.03,0,0.81
 48-58,0.57,0,0.57,149.76,1.15,0,15.49,0,90.66,5.16,3.44,10.33,0,5.74,0.57,4.02,0,1.72,4.02,0.57,108.45,2.87,22.95,18.36,58.53,0,0.57,9.75,0,4.59,6.31,0,0,0,0,6.89,0.57,0.57,0.57,0
 60-70,0,0,0,128.58,0.98,0,11.78,0.98,98.15,6.87,1.96,11.78,0,0.98,0,1.96,0,4.91,0.98,0,87.36,2.94,15.7,6.87,49.08,1.96,0.98,4.91,0,0.98,9.82,0,0,0,0,8.83,2.94,0.98,0.98,0
 72-82,0,0,0,90.31,2.94,0.98,10.8,0,68.72,28.47,5.89,10.8,0,2.94,0,7.85,0,0.98,0.98,0,73.62,0.98,22.58,7.85,46.14,0,0,10.8,0,1.96,9.82,0,0,0,0,1.96,2.94,0,5.89,0
 84-94,0,1.06,1.06,101.96,3.19,0,5.31,0,83.9,23.36,2.12,25.49,0,1.06,0,12.74,0,1.06,1.06,0,48.85,0,14.87,7.43,13.81,0,3.19,14.87,0,1.06,11.68,0,0,0,0,1.06,3.19,0,3.19,0
 96-106,0,1.09,0,26.23,1.09,0,17.49,1.09,32.79,3.28,2.19,5.46,0,1.09,1.09,1.09,1.09,0,0,0,33.88,0,10.93,0,14.21,0,0,9.84,0,0,1.09,0,0,0,0,0,1.09,0,2.19,0
108-118,0,0,0,90.38,0.77,0,6.13,0,111.06,17.62,2.3,8.43,0,0,0.77,2.3,0,0,0,0,26.81,0,5.36,5.36,16.85,0,0.77,3.83,0,0,3.83,0,0.77,0,0,0,0,1.53,2.3,0
120,0,0,0,56.83,0,0,7.84,0,27.44,7.84,1.96,1.96,0,1.96,0,0,0,0,0,0,9.8,0,3.92,1.96,21.56,0,0,3.92,0,1.96,0,0,0,0,0,1.96,1.96,0,1.96,0
