stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,144.96,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,2,1,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,1.61
 48-58,0,0,0,0,1.15,0,0,1.15,0,0,0
 60-70,0,0,0,0,5.89,0,0,1.96,0,0,0
 72-82,0,0,0,0,7.85,0,0,0,0,0,0
 84-94,0,0,0,0,5.31,1.06,1.06,0,0,0,1.06
 96-106,0,0,1.09,0,7.65,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,1.96,0,3.92,0,0,5.88,0,0,0
