stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,44.06,0,0,0,9.44,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,232.88,18.88,0,0,591.63,0,9.44,28.32,0,3.15,9.44,0,0,0,0,0
 14-21,0,0,3,1,43,6,0,8,2,0,10,2,0,0,0,1,0,0,0,1,5,0,0,9,201,3,6,1,6,1,53,4,2,24,147,0,0,6,0,0
 24-34,0,0,4.93,0.82,27.09,1.64,0,19.7,3.28,2.46,10.67,0.82,0,1.64,0,2.46,0,0.82,0,2.46,35.3,0,0.82,17.24,877.5,1.64,35.3,6.57,0,3.28,0.82,3.28,1.64,32.01,237.23,0,0,28.73,0,0
 36-46,0,0,3.22,0,4.03,0,0,199,0.81,2.42,25.78,0,0,0.81,0.81,0.81,0,0.81,0.81,0,35.45,0.81,0.81,8.86,2231.7,0.81,47.53,0,0,2.42,0,1.61,0.81,0,385.11,0,0,25.78,0,0.81
 48-58,0,0,0.57,0,2.3,0.57,0,459.62,0,4.59,57.38,0,0,0.57,0,0,0.57,1.72,1.15,0.57,26.4,0,0,7.46,2399.65,0,22.38,2.3,0,1.15,0,1.15,0,0,374.12,0,0,8.03,0,1.72
 60-70,0,0,3.93,0,2.94,0,0,858.83,1.96,4.91,62.82,1.96,0,0.98,0.98,0,0,1.96,0,0.98,17.67,0,0,4.91,3207.61,0.98,18.65,5.89,0,3.93,0,2.94,0.98,0,285.62,0,0.98,4.91,0,1.96
 72-82,0,0,12.76,0,9.82,0.98,0,705.81,0,4.91,60.86,6.87,0,1.96,1.96,0,0.98,0.98,0.98,1.96,36.32,0,0.98,2.94,2742.76,0,29.45,10.8,0,0,0,0,0,0,160.01,0,0.98,3.93,0.98,1.96
 84-94,0,0,6.37,0,18.05,1.06,0,474.73,0,7.43,52.04,3.19,0,1.06,2.12,2.12,2.12,2.12,1.06,0,25.49,0,3.19,3.19,1385.96,0,22.3,11.68,0,5.31,0,0,0,0,127.44,2.12,2.12,4.25,1.06,1.06
 96-106,0,0,9.84,0,17.49,4.37,0,343.15,1.09,0,45.9,3.28,0,0,0,0,2.19,4.37,0,0,29.51,1.09,3.28,3.28,1112.52,0,27.32,13.11,0,7.65,0,0,0,0,33.88,2.19,0,6.56,1.09,1.09
108-118,0,0,1.53,0,20.68,1.53,0,255.83,0,2.3,26.81,2.3,0,0,1.53,0,3.83,1.53,0,0,18.38,0,0.77,0,1126.73,1.53,19.92,6.13,0,3.06,0,1.53,0,0,33.7,5.36,1.53,2.3,0.77,1.53
120,0,0,0,0,11.76,1.96,1.96,221.46,0,0,25.48,3.92,0,0,1.96,0,0,0,0,1.96,19.6,0,1.96,1.96,1113.16,3.92,15.68,3.92,0,1.96,0,5.88,0,0,17.64,1.96,0,0,1.96,0
