stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0.82,0.82,0.82,0,3.28,0,0,0.82,1.64,0,0,3.28,1.64,0,9.85,0.82,0,0.82,0.82,0.82,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,11.28,0,0.81,0.81,2.42,0,8.06,0,0,1.61,0.81,0,4.03,0
 48-58,0,0,0,0,2.87,0,0,2.87,35,0,0,0,2.3,0,8.61,0,0,0.57,0,13.2,3.44,0
 60-70,0,0,0,0,18.65,0.98,0,3.93,134.47,0,0.98,0.98,0.98,0,19.63,0,0,0.98,0,14.72,0.98,0
 72-82,0,0,0,0,56.94,0,0,3.93,214.98,0,0,0,1.96,0,16.69,0,0,1.96,0,4.91,2.94,0
 84-94,0,0,0,0,36.11,0,0,4.25,147.62,2.12,0,2.12,1.06,0,13.81,0,1.06,4.25,0,7.43,4.25,0
 96-106,1.09,0,2.19,1.09,32.79,0,1.09,1.09,150.81,1.09,0,1.09,4.37,0,19.67,0,2.19,3.28,1.09,3.28,3.28,1.09
108-118,0,0.77,0,0,16.09,0,0,3.06,134.04,3.83,0,2.3,0.77,0.77,16.85,0,0.77,4.6,0,1.53,3.06,0
120,0,0,0,0,13.72,0,0,0,148.94,1.96,0,0,3.92,1.96,25.48,0,0,5.88,0,1.96,0,0
