stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,10.51,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,134.06,5.26,0,0,44.69,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,75.53,3.15,0,0,15.73,0,0,3.15,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,2,3,1
 24-34,0,0,0,1.64,0,3.28,0.82,0,0.82,0,0,0,0,0,0.82,2.46,0,0,3.28,0,0,0,0,0.82,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,1.61,1.61,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0,2.87,0,0,0,0,0.57,0,0,0,0,0.57,0,0.57,1.15,0.57,0,0.57,0,0.57,0,0,0,1.15,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,1.96,0,0,0,0.98,0.98,1.96,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,2.12,2.12,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0,1.09,0,0,1.09,1.09,0,0,0,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0,0,3.06,0,0,0.77,0,0,0.77,0,1.53,0,0.77,0,2.3,0,0.77,0,0,0.77,0,0,1.53,0,1.53,0,0,0.77
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,1.96,1.96,0,0,0,0
