stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,iridophores,liver,mesenchyme,neural,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,5.75,0.82,0,0,0,0,0.82,0
 36-46,0,0,1.61,0,0,0,0,0,0.81,12.09,0,0,0,0,4.03,0,0
 48-58,0,0,2.3,0.57,0.57,0,0,0,1.72,6.31,0,0,1.15,0,0.57,0,0
 60-70,0,0,2.94,0,0,0,0.98,0,3.93,5.89,0,0,0,0,0,0,0
 72-82,0,0.98,2.94,0,0.98,0,0,0,3.93,1.96,0,0,0,0,1.96,0,0
 84-94,0,0,3.19,0,0,0,0,0,1.06,4.25,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,0,4.37,0,0,0,0,0,0,1.09
108-118,0,1.53,1.53,0,1.53,0.77,0,0.77,0,2.3,0,0.77,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0
