stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,4,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,2.46,0.82,0,0.82,0,0,0.82,0,1.64,0,0,0,1.64,0,0,3.28,13.13,0,0,0.82,0,0,5.75,0,0.82,3.28,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,0,4.03,0,0.81,0,0.81,0,0,0,0,0,0,0,4.03,0,0,0.81,8.86,0.81,0,0,0,0,2.42,0,0,2.42,0,2.42,0,0
 48-58,0,0,0,0,0,0.57,0,3.44,0.57,1.15,4.02,0,0,0,0,0,0,0.57,0.57,5.74,0.57,0,1.72,3.44,0,0,0,0,0,4.59,0,0,1.15,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,2.94,0,0,3.93,0,0,0,0,0,0,0,0.98,7.85,0.98,0,0,1.96,0,0,0,0,0,3.93,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,2.94,0.98,0,0.98,0,0.98,1.96,0.98,0,0,0.98,0,0,0.98,0,7.85,0.98,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.25,0,0,4.25,0,1.06,4.25,0,0,0,0,2.12,0,2.12,0,4.25,1.06,0,1.06,1.06,0,0,0,0,0,7.43,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,3.28,2.19,0,3.28,0,0,0,0,2.19,2.19,0,0,3.28,1.09,0,0,3.28,1.09,0,0,0,0,6.56,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,5.36,1.53,0,0,0,0,0.77,0.77,0,0.77,0,0,0,0.77,0.77,3.06,0,0.77,1.53,2.3,0,0,0.77,0,0.77,3.06,0,0,0,0.77,0.77,0,0.77
120,0,0,0,0,0,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,1.96,5.88,0,1.96,0,0,0,5.88,0,0,1.96,0,1.96,0,0
