stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,183.89,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,7.89,0,0,0,13.14,0,0,0,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,157.72,18.4,0,0,65.72,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,3.15,0,28.32,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,236.02,25.18,0,0,62.94,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,36,5,0,0,1,0,1,0,5,0,1,8,19,0,1,0,0
 24-34,0,0,0,0,2.46,0.82,0,4.1,0,1.64,0,2.46,0,0,0,0,0,0,0,0,0,12.31,0.82,0,8.21,112.46,0.82,2.46,1.64,0,0,10.67,0,0,0,0,0.82,27.91,0,5.75,0,0
 36-46,0,0,0,0,3.22,0,0,12.89,0,0,0,4.83,0,0,0.81,0,0,0.81,0,0,0,9.67,0,0,1.61,139.38,1.61,1.61,0,0,0,12.09,0,0,0,0,0,28.2,0,4.03,0,1.61
 48-58,0,0,0,0,2.3,0,0,26.4,0.57,0,1.15,5.74,0.57,0,0,0,0,0,0.57,0,1.15,17.79,0,1.15,4.59,114.76,1.15,0,1.15,0,0,3.44,0,0,0,0,0,24.67,0,1.15,0,0.57
 60-70,0,0,0,0,4.91,0,0,29.45,0,0.98,0.98,9.82,0,0,0,0,0,0,0,0,0,16.69,0,0,3.93,129.56,0.98,0.98,2.94,0,0,5.89,0,0,0.98,0,0,26.5,0,0.98,0,0
 72-82,0,0,0.98,0,3.93,7.85,0,49.08,0,0,0.98,19.63,0.98,0,0.98,3.93,0,0,0.98,0,0,34.36,1.96,1.96,0.98,143.32,0,0,0.98,0,0,7.85,0,0,0,0,0,20.61,0.98,1.96,0,0.98
 84-94,0,0,0,0,3.19,3.19,0,35.05,0,4.25,2.12,14.87,3.19,3.19,0,2.12,1.06,0,0,1.06,0,18.05,0,3.19,1.06,64.78,2.12,1.06,1.06,0,1.06,21.24,0,0,0,0,0,11.68,0,3.19,0,0
 96-106,0,0,0,0,7.65,2.19,0,29.51,1.09,0,0,7.65,3.28,0,1.09,3.28,0,0,3.28,1.09,0,10.93,0,0,2.19,56.83,2.19,0,1.09,0,1.09,6.56,0,0,0,0,0,2.19,0,2.19,1.09,1.09
108-118,0,0,0,0,6.89,1.53,2.3,22.21,0,1.53,0,9.19,1.53,0,1.53,3.83,1.53,1.53,0.77,0,0.77,14.55,2.3,0.77,3.06,61.28,0,2.3,1.53,0,1.53,12.26,0,0,0,0,0,1.53,0.77,2.3,0,0.77
120,0,0,0,0,15.68,5.88,0,15.68,0,0,0,15.68,5.88,0,0,3.92,0,0,0,0,1.96,15.68,0,0,1.96,68.59,3.92,0,1.96,0,0,9.8,0,0,0,0,0,1.96,3.92,1.96,0,0
