stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,92.25,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,24.52,465.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,2.63,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,73.6,2.63,0,0,13.14,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,29,0,0,0,0,0,0,0,27,0,0,0,17
 24-34,0,0,0,0,0.82,0,5.75,0,0,3.28,0,0,0,0,0,0,33.66,0,0,2.46,69.77,0,5.75,0,0,0.82,0,0.82,36.94,0,0,0,46.79
 36-46,0,0,0,0,0,0,7.25,0,0,8.06,0,0,0.81,0,1.61,0,38.67,1.61,0,0.81,140.19,0,5.64,0,0,0,0,0,33.03,0,0,0,37.87
 48-58,0,0,0,0,0,0,14.35,0,0,5.16,0,0,0,0,4.02,0.57,16.07,1.15,0.57,0.57,96.4,0,2.87,0.57,0,0,0,0,14.35,0,0,0,43.04
 60-70,0,0,0,0,0.98,0,34.35,0,0.98,20.61,0,0,0.98,0,28.46,0,10.8,2.94,0,0.98,213.97,0,1.96,0,0,0,0,0,5.89,0,0,0.98,53.98
 72-82,0,0,0,0,0.98,0.98,44.17,0,0,24.54,0,0,0.98,0,21.6,0.98,4.91,3.93,0,0.98,236.58,0,4.91,0,0,0,0,0,6.87,0,0.98,0,25.52
 84-94,0,0,0,0,0,0,28.68,1.06,1.06,14.87,1.06,0,0,0,41.42,0,22.3,1.06,0,0,145.5,0,2.12,1.06,0,1.06,0,0,4.25,0,0,0,35.05
 96-106,0,0,0,0,1.09,0,40.44,0,0,24.04,0,0,1.09,1.09,34.97,0,12.02,3.28,0,0,125.68,1.09,4.37,1.09,0,0,0,0,4.37,0,0,1.09,30.6
108-118,0,0,0,0,0.77,0.77,22.21,0,0,16.09,0,0,0,0,39.83,0.77,12.26,6.89,0,0,179.24,0,2.3,0,0,0,0,0,3.06,0.77,0,0,20.68
120,0,0,1.96,0,0,0,11.76,1.96,0,9.8,0,0,0,0,21.56,0,3.92,0,0,0,168.54,0,0,0,0,0,0,0,3.92,0,0,0,5.88
