stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,1,0,1,2,0,0,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,0,0,0,1.64,0,20.52,0,0,0,0,0,0,0,0,1.64,10.67,0,0,0,0.82
 36-46,0,0,0.81,0,1.61,0,10.47,0,0,0,0,0,0,0.81,0.81,40.28,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0
 48-58,0,0,0,0,0.57,0,129.68,0,0,2.3,0,0,0,1.15,1.72,38.44,0,0,0,0,0.57,0,0,0,0,8.03,0,0,0,0
 60-70,0,0,0,0,0,0,448.56,0,0,4.91,0,0,0,0.98,0.98,78.52,0,0.98,0,0,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,0,2.94,0.98,479.05,0,0,7.85,0,0,0.98,3.93,0,122.71,0,0.98,0,0,0.98,0,0,0,0,5.89,0,0.98,0,0
 84-94,0,0,0,0,4.25,0,517.21,0,0,4.25,0,0,1.06,7.43,1.06,54.16,0,0,0,0,1.06,0,0,0,0,5.31,0,0,0,0
 96-106,0,0,0,0,1.09,3.28,366.1,1.09,0,6.56,1.09,1.09,1.09,7.65,1.09,73.22,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,272.68,0,0.77,2.3,0.77,0,0.77,3.06,0.77,75.83,0,1.53,0,0,0.77,0,0,0,0,3.06,0.77,0,0.77,0
120,0,0,0,0,1.96,1.96,280.25,0,1.96,3.92,0,0,0,0,0,96.03,0,0,0,1.96,3.92,0,0,0,0,1.96,0,0,0,0
