stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,4.03,0,0,0,0,0,0,0,1.61,0,2.42
 48-58,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,6.31,0,0.57,0,0,0,0,0,0.57,0.57,2.3
 60-70,0,0,0,42.21,0,0,0,0,0,0,0,0,0.98,0,7.85,0,0.98,0,0,0,0,0,0.98,0,8.83
 72-82,0,0.98,0,173.75,0,0,6.87,0,0,0,0,0,1.96,0,17.67,0,4.91,0,0,0,0,0.98,0,0,10.8
 84-94,0,2.12,0,87.09,0,0,1.06,0,0,0,0,0,2.12,0,9.56,1.06,4.25,1.06,0,2.12,0,0,1.06,1.06,9.56
 96-106,0,0,2.19,151.91,1.09,0,6.56,1.09,0,0,1.09,1.09,3.28,0,20.76,0,0,2.19,0,1.09,0,0,1.09,2.19,5.46
108-118,0,0.77,0.77,107.23,1.53,0.77,7.66,0,1.53,1.53,0,0.77,1.53,0,8.43,1.53,3.06,1.53,0,0,0,0.77,0,0,10.72
120,0,1.96,0,88.19,0,0,3.92,0,0,0,0,0,1.96,0,21.56,0,1.96,3.92,0,3.92,0,0,1.96,1.96,0
