stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,4,1,0,1,2,0,0,7,3,13,7,0,0,0,0,1
 24-34,0,0,1.64,0.82,0,0,0,0.82,0,0,0,9.03,0,0,1.64,0,0,3.28,0,0,4.1,9.03,0,0,0.82,0,0,0,0,1.64,6.57,2.46,0,0,3.28,0,0
 36-46,0,1.61,0,0.81,0,0,0,1.61,1.61,0,0,32.23,0,0,4.03,0,0,4.03,0.81,0.81,0.81,8.06,0,0.81,2.42,0,0,2.42,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,4.02,1.15,0,0,3.44,0,0,0,10.33,0,1.15,2.3,0,0,6.89,0,0,0.57,5.16,0,1.15,0.57,0,0,1.15,0,0,0,1.15,0,0,2.3,0,0.57
 60-70,0,1.96,0,5.89,0.98,0.98,0,3.93,0.98,0,0,37.3,0,0.98,7.85,0,0.98,17.67,0,0,3.93,11.78,0,0,0.98,0,0,3.93,0,0,0,4.91,0,0,3.93,0,0
 72-82,0.98,1.96,0,1.96,0.98,0,0.98,4.91,1.96,0,0,21.6,0.98,1.96,3.93,0,0,41.23,0,2.94,1.96,14.72,0,0.98,0.98,0,0.98,0,0,0.98,0,0.98,0,0.98,8.83,0.98,0
 84-94,0,4.25,0,6.37,1.06,1.06,0,5.31,2.12,0,0,36.11,1.06,3.19,7.43,0,1.06,24.43,0,3.19,5.31,14.87,0,1.06,2.12,0,0,1.06,0,0,0,0,0,1.06,4.25,2.12,2.12
 96-106,0,15.3,3.28,6.56,2.19,2.19,0,3.28,3.28,0,0,63.39,0,7.65,13.11,0,0,40.44,1.09,3.28,5.46,13.11,0,4.37,3.28,0,0,3.28,0,0,0,4.37,0,0,7.65,2.19,2.19
108-118,0,7.66,1.53,3.06,3.06,1.53,0.77,1.53,6.13,0,0,48.26,1.53,10.72,6.13,0.77,0,46.72,0.77,2.3,3.06,11.49,0,1.53,1.53,0,3.06,3.06,0,0,0,0,0.77,3.06,7.66,0.77,1.53
120,0,7.84,0,3.92,1.96,0,0,9.8,5.88,0,0,39.2,1.96,9.8,7.84,0,0,29.4,0,0,1.96,9.8,0,1.96,3.92,0,0,3.92,0,0,0,0,0,1.96,11.76,0,1.96
