stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,19,0,1,0,1,1,2,1,0,1,6,0,0,0
 24-34,0,0,1.64,1.64,0,6.57,0,0,0.82,0,0,0,0.82,0,0.82,0.82,0,0.82,0.82,0.82,41.04,0,5.75,0.82,0,4.93,0,0,1.64,0,8.21,0,0.82,0
 36-46,0,0,0,6.45,0.81,8.86,0.81,0,2.42,0,0,0,0,0.81,0.81,0,0,11.28,0,2.42,105.54,0,8.86,3.22,0,4.83,0,0,0.81,0,20.95,0,0.81,0
 48-58,0,0,0,0.57,0,10.9,0.57,0.57,5.16,0,0.57,0,0.57,0,1.72,0.57,0,1.72,0,0,55.66,0,3.44,0.57,0,1.72,0,0.57,0,0,6.89,0,0.57,0
 60-70,0,0,0,2.94,0.98,20.61,0,0,4.91,0.98,0,0.98,0,0,0,0,0,4.91,0.98,0,85.39,0,2.94,1.96,0,4.91,0,0,0,0,7.85,0,0,0
 72-82,0,0,0,0.98,0,3.93,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,12.76,0,4.91,1.96,0,0.98,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,1.06,0,8.5,1.06,0,0,0,2.12,3.19,1.06,1.06,2.12,0,0,1.06,0,0,29.74,0,1.06,1.06,0,10.62,0,0,0,0,4.25,0,0,0
 96-106,0,0,0,3.28,0,8.74,0,0,2.19,0,0,0,1.09,0,1.09,0,0,4.37,0,1.09,17.49,0,4.37,3.28,0,12.02,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,2.3,0,3.06,0.77,0,2.3,2.3,0,0,0,0,0.77,1.53,0.77,0,0,0,16.09,0,2.3,0.77,0,6.13,0,0,0,0,0.77,0,0.77,0
120,0,0,0,9.8,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,9.8,0,3.92,0,0,3.92,0,0,0,0,1.96,0,0,1.96
