stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,3.44,0,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,68.71,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0.98,0,5.89,0,9.82,0.98,0,0,0,345.54,0.98,9.82,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,3.19,0,0,6.37,0,8.5,0,0,0,0,254.89,1.06,2.12,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,6.56,0,2.19,5.46,1.09,5.46,0,1.09,2.19,0,192.34,0,5.46,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,1.53,0,0,3.06,0,16.85,0,0,2.3,0,142.47,0,5.36,0,0,0,0,0,0,0,3.06,0
120,0,0,7.84,0,0,3.92,0,15.68,1.96,0,3.92,1.96,152.86,0,5.88,1.96,0,0,0,0,0,1.96,1.96,0
