stage,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,4.1,0.82,0,0.82,0.82,0
 36-46,0.81,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0.81,0,0,0
 48-58,0.57,0,0.57,1.15,0,0.57,0,0,0,1.15,0.57,1.15,1.72,0,0,0,0,0
 60-70,0.98,0,0,0.98,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0.98
 72-82,0,0.98,0,1.96,0,0.98,0,0,0,3.93,0,0.98,2.94,0,0,0,0.98,0
 84-94,0,2.12,1.06,0,0,6.37,1.06,0,0,1.06,0,0,3.19,0,1.06,0,0,1.06
 96-106,0,1.09,0,2.19,1.09,3.28,0,0,0,5.46,1.09,0,1.09,0,1.09,0,0,0
108-118,1.53,0.77,1.53,0,0.77,2.3,0.77,0,0.77,2.3,0,0,1.53,0,0.77,0,0,0.77
120,1.96,0,3.92,0,0,1.96,0,1.96,0,0,0,0,3.92,0,3.92,0,0,0
