stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,23.66,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,20,0,0,0,0,0,0,0,0,101,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,32.01,0,0,0,0,0,0.82,0,0,100.97,0,0,0.82,0.82,7.39,0,0.82,0,0
 36-46,0,0,0,0,0,17.72,0,0.81,0,0,0,0.81,0,0,139.38,0,0,0,0,1.61,0,0,0,0.81
 48-58,0,0,0,2.3,0,21.8,0,2.87,0,0,0,2.3,0,0,199.68,0,0.57,0,0,5.74,0,1.15,0,0.57
 60-70,0,0,0,1.96,0,14.72,0,3.93,0,0,0,0,0,0,193.36,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,24.54,0,7.85,0,0,0,4.91,0,0,193.39,0,0.98,0.98,0,1.96,0,0.98,0.98,0.98
 84-94,0,0,0,4.25,0,40.36,0,10.62,0,0,1.06,8.5,0,0,123.2,1.06,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,2.19,0,36.06,2.19,4.37,0,0,0,5.46,0,1.09,107.1,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0,18.38,1.53,8.43,0,0,0,1.53,0.77,0,151.66,0,1.53,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,19.6,0,9.8,0,1.96,0,5.88,0,0,180.3,1.96,1.96,0,0,0,0,0,0,0
