stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,1,6,2,0,1,0,0,0,71,0,0,0,0,1,7,0,1,75,2,1,12,3,0,87,0,1,183,0,0,0,0
 24-34,0,0,1.64,0,0,3.28,0,0,0,64.85,0.82,0,4.93,0,0,8.21,0,1.64,97.68,0.82,3.28,3.28,0,1.64,18.88,0,3.28,154.32,0,0,0,0.82
 36-46,0,0,0,0,0,5.64,0,0.81,0,39.48,0,0,1.61,0,0,1.61,0.81,0.81,87.01,0,9.67,0.81,0,0,6.45,0,0,94.26,0,0,0.81,0
 48-58,0,0,0,0,0,9.75,0,0,0,37.87,0.57,0,2.3,0,0,8.03,0,0.57,86.64,0,2.87,1.15,0,0,3.44,0,0,83.2,0,0,0,0
 60-70,0,0,0.98,0,0,7.85,0,0,0.98,34.35,0.98,0,1.96,0,0,2.94,0,0,58.89,0.98,8.83,3.93,0,0,2.94,0,0,37.3,0,0,0,0
 72-82,0,0,0,0,0,15.71,0,0,0,39.27,0,0,2.94,0,0,4.91,0,0.98,54.97,0,21.6,7.85,0,0,1.96,0,0,19.63,0,0,0,0
 84-94,2.12,0,0,0,0,18.05,0,0,0,15.93,0,0,2.12,0,0,3.19,1.06,0,46.73,0,10.62,15.93,0,1.06,4.25,0,0,19.12,0,1.06,0,0
 96-106,1.09,0,0,0,1.09,13.11,0,0,0,18.58,0,0,13.11,0,0,4.37,0,0,24.04,0,15.3,17.49,0,0,2.19,0,0,18.58,0,0,0,0
108-118,0,0,0.77,0,0,3.83,0.77,0,0,15.32,0,0.77,6.89,0,0,7.66,0,0,33.7,0,7.66,10.72,0,0.77,1.53,0.77,0,10.72,0.77,0.77,0.77,0
120,0,0,0,0,0,7.84,0,0,0,1.96,0,0,5.88,1.96,0,0,0,0,29.4,0,7.84,13.72,0,0,1.96,0,0,3.92,0,0,0,0
