stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,immune,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,263.56,4111.52,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0
  5-6,79.69,1336.26,0,0,0,0,0,0,0,0,24.52,6.13,18.39,0,0,0,0
  7-9,7.89,13.14,0,2.63,0,15.77,0,0,0,0,170.87,84.12,0,5.26,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,9.44,22.03,0,9.44,3.15,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,2.42,0,0,0.81,0.81,12.89,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,4.02,1.72,0,1.15,0,9.75,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,0,5.89,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,2.94,0,0,0.98,0,1.96,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,1.53,0,0,1.53,0,0.77,0,0.77,0,0
120,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0
